S1_S0101,S2_S0101,S3_S0101,S4_S0101,S5_S0101,S6_S0101,S7_S0101,S8_S0101
0.361,0.646,0.967,0.815,0.696,0.091,0.331,0.426
0.361,0.646,0.967,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.967,0.815,0.696,0.091,0.331,0.426
0.361,0.646,0.967,0.815,0.696,0.091,0.331,0.426
0.361,0.646,0.967,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.091,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.091,0.331,0.426
0.361,0.646,0.966,0.816,0.696,0.091,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.091,0.331,0.426
0.36,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.091,0.331,0.426
0.36,0.646,0.966,0.815,0.696,0.09,0.331,0.426
0.361,0.646,0.966,0.815,0.696,0.091,0.331,0.426
0.36,0.646,0.965,0.815,0.696,0.09,0.331,0.426
0.36,0.646,0.965,0.815,0.696,0.091,0.331,0.426
0.36,0.646,0.965,0.815,0.696,0.09,0.331,0.426
0.36,0.646,0.965,0.815,0.696,0.09,0.331,0.426
0.36,0.646,0.965,0.815,0.696,0.091,0.331,0.426
0.36,0.646,0.965,0.815,0.696,0.09,0.331,0.426
0.36,0.646,0.965,0.815,0.696,0.09,0.331,0.426
0.36,0.646,0.965,0.815,0.696,0.09,0.331,0.425
0.36,0.646,0.965,0.815,0.696,0.09,0.331,0.425
0.36,0.646,0.965,0.815,0.696,0.09,0.33,0.426
0.36,0.646,0.965,0.815,0.696,0.09,0.33,0.425
0.36,0.646,0.965,0.815,0.696,0.09,0.331,0.426
0.36,0.646,0.965,0.815,0.696,0.09,0.33,0.425
0.36,0.646,0.965,0.815,0.696,0.09,0.331,0.425
0.36,0.646,0.965,0.815,0.696,0.09,0.33,0.425
0.36,0.646,0.965,0.815,0.696,0.09,0.33,0.425
0.36,0.646,0.965,0.815,0.696,0.09,0.33,0.426
0.36,0.646,0.964,0.815,0.696,0.091,0.33,0.426
0.36,0.646,0.964,0.815,0.696,0.09,0.33,0.426
0.36,0.645,0.964,0.815,0.696,0.09,0.33,0.426
0.36,0.645,0.964,0.815,0.696,0.09,0.33,0.426
0.36,0.645,0.964,0.815,0.696,0.09,0.33,0.426
0.36,0.645,0.964,0.816,0.696,0.09,0.33,0.426
0.36,0.645,0.964,0.819,0.696,0.09,0.33,0.426
0.36,0.652,0.965,0.825,0.696,0.09,0.33,0.427
0.36,0.664,0.966,0.834,0.697,0.091,0.331,0.428
0.36,0.678,0.967,0.843,0.699,0.09,0.331,0.431
0.36,0.695,0.968,0.852,0.702,0.091,0.331,0.436
0.36,0.712,0.969,0.86,0.708,0.091,0.332,0.444
0.361,0.729,0.97,0.87,0.716,0.091,0.332,0.453
0.361,0.746,0.971,0.88,0.725,0.091,0.333,0.463
0.361,0.764,0.972,0.89,0.735,0.092,0.333,0.474
0.362,0.782,0.973,0.899,0.746,0.092,0.334,0.484
0.362,0.799,0.975,0.908,0.756,0.093,0.334,0.494
0.363,0.818,0.976,0.917,0.767,0.093,0.335,0.505
0.364,0.837,0.978,0.926,0.778,0.094,0.336,0.516
0.364,0.857,0.979,0.936,0.789,0.094,0.336,0.526
0.365,0.877,0.981,0.949,0.8,0.095,0.337,0.536
0.367,0.898,0.983,0.961,0.811,0.096,0.338,0.546
0.368,0.918,0.985,0.971,0.821,0.096,0.338,0.555
0.369,0.938,0.987,0.98,0.831,0.097,0.339,0.564
0.37,0.958,0.989,0.989,0.842,0.097,0.34,0.573
0.372,0.977,0.992,0.998,0.852,0.098,0.34,0.582
0.373,0.996,0.994,1.008,0.862,0.099,0.341,0.591
0.374,1.015,0.996,1.019,0.873,0.1,0.342,0.599
0.376,1.033,0.999,1.029,0.883,0.101,0.343,0.607
0.378,1.051,1.001,1.039,0.893,0.101,0.343,0.614
