S1_S0301,S2_S0301,S3_S0301,S4_S0301,S5_S0301,S6_S0301,S7_S0301,S8_S0301
0.311,0.584,0.803,0.785,0.678,0.085,0.261,0.384
0.311,0.584,0.803,0.785,0.678,0.085,0.261,0.384
0.31,0.583,0.801,0.784,0.677,0.085,0.261,0.384
0.31,0.581,0.8,0.782,0.675,0.085,0.26,0.383
0.311,0.583,0.801,0.784,0.676,0.085,0.26,0.383
0.311,0.585,0.804,0.786,0.679,0.085,0.261,0.384
0.311,0.584,0.804,0.786,0.679,0.086,0.261,0.385
0.311,0.584,0.803,0.786,0.678,0.085,0.261,0.384
0.31,0.582,0.801,0.784,0.677,0.085,0.261,0.384
0.31,0.581,0.799,0.782,0.675,0.085,0.26,0.383
0.31,0.582,0.801,0.783,0.676,0.085,0.26,0.383
0.311,0.584,0.804,0.786,0.678,0.085,0.261,0.384
0.311,0.584,0.803,0.786,0.678,0.085,0.261,0.385
0.311,0.583,0.803,0.785,0.678,0.085,0.261,0.384
0.31,0.582,0.801,0.783,0.677,0.085,0.261,0.384
0.31,0.581,0.799,0.782,0.675,0.085,0.26,0.383
0.311,0.582,0.801,0.783,0.676,0.085,0.26,0.383
0.311,0.584,0.803,0.785,0.678,0.085,0.261,0.384
0.311,0.584,0.803,0.785,0.678,0.085,0.262,0.385
0.311,0.583,0.803,0.785,0.678,0.085,0.261,0.384
0.31,0.582,0.801,0.783,0.677,0.085,0.261,0.384
0.31,0.581,0.799,0.781,0.675,0.085,0.26,0.383
0.31,0.582,0.8,0.782,0.675,0.085,0.26,0.383
0.311,0.583,0.803,0.785,0.678,0.085,0.261,0.384
0.311,0.583,0.803,0.785,0.678,0.086,0.261,0.385
0.311,0.583,0.802,0.784,0.678,0.085,0.261,0.384
0.31,0.581,0.801,0.783,0.677,0.085,0.261,0.384
0.31,0.58,0.799,0.781,0.675,0.085,0.26,0.383
0.31,0.581,0.8,0.782,0.675,0.085,0.26,0.383
0.311,0.583,0.803,0.784,0.678,0.085,0.261,0.384
0.311,0.583,0.803,0.784,0.678,0.085,0.261,0.385
0.311,0.582,0.802,0.784,0.677,0.085,0.261,0.384
0.31,0.581,0.801,0.782,0.676,0.085,0.261,0.384
0.309,0.58,0.799,0.78,0.674,0.085,0.26,0.383
0.31,0.581,0.8,0.781,0.675,0.085,0.26,0.383
0.311,0.582,0.803,0.784,0.677,0.085,0.261,0.384
0.311,0.582,0.803,0.784,0.678,0.085,0.261,0.385
0.311,0.582,0.802,0.783,0.677,0.085,0.261,0.384
0.31,0.581,0.801,0.782,0.676,0.085,0.261,0.384
0.31,0.579,0.799,0.78,0.674,0.085,0.26,0.383
0.31,0.58,0.799,0.781,0.675,0.085,0.26,0.382
0.311,0.582,0.802,0.783,0.677,0.085,0.261,0.384
0.311,0.582,0.803,0.784,0.678,0.085,0.261,0.385
0.311,0.581,0.802,0.783,0.677,0.085,0.261,0.384
0.31,0.58,0.801,0.782,0.676,0.085,0.261,0.384
0.309,0.578,0.798,0.78,0.674,0.085,0.26,0.383
0.31,0.579,0.799,0.78,0.674,0.085,0.26,0.383
0.311,0.581,0.802,0.783,0.677,0.085,0.261,0.384
0.311,0.581,0.802,0.784,0.678,0.085,0.261,0.385
0.31,0.581,0.802,0.783,0.677,0.085,0.261,0.384
0.31,0.58,0.8,0.782,0.676,0.085,0.261,0.384
0.309,0.578,0.798,0.779,0.674,0.085,0.26,0.383
0.31,0.579,0.799,0.78,0.674,0.085,0.26,0.382
0.311,0.581,0.802,0.783,0.677,0.085,0.261,0.384
0.311,0.581,0.802,0.783,0.678,0.085,0.261,0.385
0.311,0.58,0.802,0.783,0.677,0.085,0.261,0.384
0.31,0.579,0.8,0.781,0.676,0.085,0.261,0.384
0.309,0.577,0.798,0.779,0.674,0.085,0.26,0.383
0.31,0.578,0.799,0.78,0.674,0.085,0.26,0.382
0.311,0.58,0.801,0.782,0.677,0.085,0.261,0.384
0.311,0.58,0.802,0.783,0.677,0.085,0.261,0.384
0.311,0.58,0.801,0.782,0.677,0.085,0.261,0.384
0.31,0.579,0.801,0.782,0.676,0.085,0.261,0.384
0.31,0.579,0.8,0.782,0.676,0.085,0.261,0.384
0.31,0.579,0.801,0.781,0.676,0.085,0.261,0.384
0.31,0.579,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.579,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.579,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.579,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.579,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.578,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.578,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.578,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.578,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.578,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.578,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.578,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.578,0.8,0.781,0.676,0.085,0.261,0.384
0.31,0.578,0.8,0.781,0.676,0.085,0.261,0.383
