S1_S0402,S2_S0402,S3_S0402,S4_S0402,S5_S0402,S6_S0402,S7_S0402,S8_S0402
0.351,0.633,0.944,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.944,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.944,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.944,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.944,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.944,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.943,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.943,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.943,0.853,0.709,0.092,0.312,0.434
0.351,0.633,0.943,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.943,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.943,0.853,0.709,0.092,0.313,0.433
0.351,0.633,0.943,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.943,0.853,0.709,0.092,0.312,0.433
0.351,0.633,0.943,0.853,0.709,0.092,0.313,0.433
0.351,0.633,0.943,0.853,0.709,0.092,0.312,0.434
0.351,0.633,0.943,0.853,0.709,0.092,0.313,0.434
0.351,0.633,0.943,0.853,0.709,0.092,0.312,0.433
0.351,0.633,0.943,0.852,0.709,0.092,0.313,0.433
0.351,0.633,0.943,0.852,0.709,0.092,0.312,0.433
0.351,0.633,0.943,0.852,0.709,0.092,0.312,0.433
0.351,0.633,0.942,0.852,0.709,0.092,0.313,0.433
0.351,0.633,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.633,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.633,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.632,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.633,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.633,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.633,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.633,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.632,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.632,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.633,0.942,0.852,0.709,0.092,0.312,0.433
0.351,0.633,0.942,0.852,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.852,0.709,0.092,0.312,0.433
0.351,0.632,0.941,0.852,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.852,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.852,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.852,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.852,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.852,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.852,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.852,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.852,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.941,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.433
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.432
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.432
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.432
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.432
0.35,0.632,0.94,0.851,0.709,0.092,0.312,0.432
0.35,0.632,0.939,0.851,0.709,0.092,0.311,0.432
0.35,0.632,0.939,0.851,0.709,0.092,0.312,0.432
0.35,0.632,0.94,0.85,0.709,0.092,0.311,0.432
0.35,0.632,0.939,0.851,0.709,0.092,0.312,0.432
0.35,0.632,0.939,0.85,0.709,0.092,0.312,0.432
0.35,0.632,0.939,0.85,0.709,0.092,0.312,0.432
0.35,0.632,0.939,0.85,0.709,0.092,0.311,0.432
0.35,0.632,0.939,0.85,0.709,0.092,0.312,0.432
0.35,0.632,0.939,0.85,0.709,0.092,0.311,0.432
0.35,0.632,0.939,0.85,0.709,0.092,0.311,0.432
0.35,0.632,0.939,0.85,0.709,0.092,0.311,0.432
0.35,0.632,0.939,0.85,0.709,0.092,0.311,0.432
0.35,0.632,0.939,0.85,0.709,0.092,0.311,0.432
0.349,0.631,0.939,0.85,0.709,0.092,0.311,0.432
0.35,0.632,0.939,0.85,0.709,0.092,0.311,0.432
0.349,0.631,0.939,0.85,0.709,0.092,0.311,0.432
0.349,0.631,0.938,0.85,0.709,0.092,0.311,0.432
0.349,0.631,0.938,0.85,0.709,0.092,0.311,0.432
0.349,0.631,0.938,0.85,0.709,0.092,0.312,0.432
0.349,0.631,0.938,0.85,0.709,0.092,0.311,0.432
0.349,0.631,0.938,0.85,0.709,0.092,0.311,0.432
0.349,0.631,0.938,0.85,0.709,0.092,0.311,0.432
0.349,0.631,0.938,0.849,0.709,0.092,0.311,0.432
0.349,0.631,0.938,0.849,0.709,0.092,0.311,0.432
0.349,0.631,0.938,0.849,0.709,0.092,0.311,0.432
0.349,0.631,0.938,0.85,0.709,0.092,0.311,0.432
0.349,0.631,0.938,0.849,0.709,0.092,0.311,0.432
