S1_S0102,S2_S0102,S3_S0102,S4_S0102,S5_S0102,S6_S0102,S7_S0102,S8_S0102
0.365,0.651,0.992,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.992,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.992,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.992,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.992,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.991,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.99,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.99,0.828,0.699,0.091,0.335,0.429
0.365,0.651,0.99,0.828,0.699,0.091,0.335,0.43
0.365,0.651,0.99,0.828,0.699,0.091,0.335,0.429
0.365,0.651,0.99,0.828,0.699,0.091,0.335,0.429
0.365,0.651,0.99,0.828,0.699,0.091,0.335,0.429
0.365,0.651,0.99,0.828,0.699,0.091,0.334,0.429
0.365,0.651,0.99,0.828,0.699,0.091,0.335,0.429
0.365,0.651,0.99,0.828,0.699,0.091,0.334,0.429
0.364,0.651,0.99,0.828,0.699,0.091,0.335,0.429
0.364,0.651,0.99,0.828,0.699,0.091,0.334,0.429
0.364,0.65,0.99,0.828,0.699,0.091,0.335,0.429
0.364,0.65,0.99,0.828,0.699,0.091,0.334,0.429
0.364,0.651,0.99,0.828,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.828,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.828,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.828,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.989,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.988,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.987,0.827,0.699,0.091,0.334,0.428
0.364,0.65,0.987,0.827,0.699,0.091,0.334,0.428
0.364,0.65,0.987,0.827,0.699,0.091,0.334,0.428
0.364,0.65,0.987,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.987,0.827,0.699,0.091,0.334,0.429
0.364,0.65,0.987,0.827,0.699,0.091,0.334,0.428
0.364,0.65,0.987,0.827,0.699,0.091,0.333,0.428
0.364,0.65,0.987,0.827,0.699,0.091,0.333,0.428
0.364,0.65,0.987,0.827,0.699,0.091,0.334,0.428
0.364,0.65,0.987,0.827,0.699,0.091,0.333,0.428
0.364,0.65,0.987,0.827,0.699,0.091,0.333,0.428
0.363,0.65,0.987,0.827,0.699,0.091,0.333,0.428
0.363,0.65,0.987,0.827,0.699,0.091,0.333,0.428
0.364,0.65,0.987,0.827,0.699,0.091,0.333,0.428
0.363,0.65,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.65,0.987,0.827,0.699,0.091,0.333,0.428
0.363,0.65,0.987,0.827,0.699,0.091,0.333,0.428
0.363,0.65,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.65,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.65,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.986,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.827,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.648,0.985,0.826,0.699,0.091,0.333,0.428
0.363,0.649,0.985,0.827,0.699,0.091,0.333,0.428
0.363,0.651,0.985,0.829,0.699,0.091,0.333,0.428
0.363,0.654,0.985,0.832,0.699,0.091,0.333,0.428
0.363,0.659,0.985,0.836,0.7,0.091,0.333,0.429
0.363,0.666,0.986,0.842,0.701,0.091,0.333,0.429
0.363,0.673,0.986,0.847,0.703,0.091,0.333,0.43
0.363,0.681,0.987,0.853,0.706,0.091,0.333,0.432
0.363,0.692,0.987,0.86,0.709,0.091,0.333,0.435
0.363,0.703,0.988,0.867,0.712,0.091,0.334,0.439
0.363,0.716,0.989,0.874,0.715,0.092,0.334,0.444
0.363,0.731,0.989,0.881,0.719,0.092,0.334,0.45
0.364,0.746,0.991,0.887,0.723,0.092,0.335,0.456
0.364,0.761,0.991,0.893,0.727,0.092,0.335,0.463
0.364,0.777,0.992,0.899,0.732,0.093,0.336,0.47
0.364,0.793,0.993,0.905,0.739,0.093,0.336,0.477
0.365,0.807,0.994,0.911,0.746,0.093,0.337,0.485
0.365,0.822,0.995,0.917,0.753,0.094,0.337,0.492
0.365,0.837,0.996,0.923,0.761,0.094,0.338,0.5
0.366,0.852,0.998,0.93,0.768,0.094,0.338,0.507
0.367,0.869,0.999,0.937,0.776,0.095,0.339,0.515
0.367,0.885,1.001,0.943,0.783,0.096,0.339,0.523
0.368,0.902,1.003,0.95,0.791,0.096,0.34,0.531
0.369,0.919,1.004,0.957,0.799,0.097,0.341,0.539
0.37,0.935,1.006,0.964,0.807,0.097,0.341,0.547
0.371,0.951,1.008,0.97,0.815,0.098,0.342,0.554
0.372,0.968,1.01,0.977,0.823,0.099,0.342,0.561
0.373,0.984,1.012,0.984,0.831,0.099,0.343,0.568
0.374,0.999,1.014,0.99,0.84,0.1,0.344,0.575
0.375,1.014,1.016,0.997,0.848,0.1,0.344,0.582
0.376,1.028,1.018,1.004,0.856,0.101,0.345,0.589
0.377,1.043,1.02,1.011,0.864,0.102,0.346,0.595
0.378,1.058,1.022,1.017,0.872,0.103,0.346,0.602
0.38,1.072,1.024,1.024,0.88,0.103,0.347,0.608
0.381,1.086,1.027,1.03,0.888,0.104,0.348,0.614
0.382,1.1,1.029,1.037,0.896,0.105,0.348,0.62
0.383,1.113,1.031,1.043,0.903,0.105,0.349,0.627
0.384,1.127,1.033,1.05,0.911,0.106,0.349,0.632
0.385,1.14,1.035,1.057,0.918,0.107,0.35,0.638
0.387,1.152,1.037,1.063,0.925,0.108,0.351,0.644
0.388,1.165,1.039,1.07,0.932,0.108,0.352,0.649
0.389,1.176,1.041,1.076,0.939,0.109,0.352,0.655
0.39,1.187,1.044,1.083,0.946,0.11,0.353,0.66
0.392,1.197,1.046,1.089,0.953,0.11,0.353,0.665
0.393,1.208,1.048,1.095,0.959,0.111,0.354,0.671
0.394,1.218,1.05,1.101,0.966,0.112,0.355,0.676
0.395,1.228,1.052,1.107,0.972,0.113,0.355,0.68
0.396,1.237,1.054,1.112,0.978,0.113,0.356,0.685
0.398,1.247,1.057,1.118,0.984,0.114,0.357,0.69
0.399,1.256,1.059,1.123,0.989,0.115,0.357,0.695
0.4,1.265,1.061,1.128,0.995,0.115,0.358,0.699
0.401,1.273,1.063,1.133,1.0,0.116,0.358,0.703
0.402,1.28,1.065,1.138,1.005,0.117,0.359,0.707
0.403,1.288,1.067,1.142,1.01,0.117,0.36,0.711
0.404,1.294,1.069,1.146,1.015,0.118,0.361,0.715
0.405,1.301,1.071,1.151,1.02,0.119,0.361,0.719
0.407,1.307,1.073,1.155,1.024,0.119,0.362,0.722
0.408,1.313,1.075,1.159,1.028,0.12,0.362,0.726
0.409,1.319,1.077,1.162,1.033,0.121,0.363,0.729
0.41,1.324,1.079,1.165,1.036,0.122,0.364,0.732
0.411,1.33,1.081,1.168,1.04,0.122,0.364,0.735
0.412,1.335,1.083,1.171,1.044,0.123,0.364,0.738
0.413,1.34,1.085,1.174,1.047,0.124,0.365,0.74
0.414,1.346,1.087,1.176,1.05,0.124,0.366,0.743
0.415,1.35,1.089,1.178,1.053,0.125,0.366,0.745
0.416,1.355,1.09,1.18,1.056,0.126,0.367,0.748
0.417,1.36,1.092,1.182,1.059,0.126,0.367,0.75
0.418,1.365,1.094,1.183,1.061,0.127,0.368,0.752
