S1_S0401,S2_S0401,S3_S0401,S4_S0401,S5_S0401,S6_S0401,S7_S0401,S8_S0401
0.365,0.638,0.975,0.866,0.726,0.093,0.321,0.45
0.365,0.638,0.976,0.866,0.727,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.726,0.093,0.321,0.45
0.365,0.638,0.975,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.727,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.727,0.093,0.321,0.45
0.364,0.638,0.975,0.866,0.727,0.094,0.321,0.45
0.364,0.638,0.974,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.974,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.974,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.974,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.974,0.866,0.727,0.093,0.321,0.45
0.364,0.637,0.974,0.866,0.726,0.093,0.321,0.45
0.364,0.638,0.974,0.865,0.726,0.093,0.321,0.45
0.364,0.637,0.974,0.865,0.726,0.093,0.321,0.45
0.364,0.637,0.974,0.865,0.726,0.093,0.321,0.45
0.364,0.637,0.974,0.865,0.727,0.093,0.321,0.449
0.364,0.637,0.974,0.865,0.727,0.093,0.321,0.449
0.364,0.637,0.974,0.865,0.726,0.093,0.321,0.449
0.364,0.637,0.974,0.865,0.727,0.093,0.321,0.449
0.364,0.637,0.974,0.865,0.727,0.093,0.321,0.449
0.364,0.637,0.973,0.865,0.727,0.093,0.321,0.449
0.364,0.637,0.973,0.865,0.726,0.093,0.321,0.449
0.364,0.637,0.973,0.865,0.726,0.093,0.321,0.449
0.364,0.637,0.973,0.865,0.726,0.093,0.321,0.449
0.364,0.637,0.973,0.865,0.726,0.093,0.321,0.449
0.364,0.637,0.973,0.865,0.726,0.093,0.321,0.449
0.364,0.637,0.973,0.865,0.727,0.093,0.32,0.449
0.364,0.637,0.973,0.865,0.726,0.093,0.32,0.449
0.363,0.637,0.973,0.865,0.726,0.093,0.32,0.449
0.364,0.637,0.973,0.865,0.726,0.093,0.321,0.449
0.363,0.637,0.973,0.865,0.727,0.093,0.32,0.449
0.363,0.637,0.973,0.865,0.726,0.093,0.32,0.449
0.363,0.637,0.972,0.865,0.726,0.093,0.32,0.449
0.363,0.637,0.972,0.865,0.726,0.093,0.32,0.449
0.363,0.637,0.972,0.865,0.726,0.093,0.32,0.449
0.363,0.637,0.972,0.865,0.726,0.093,0.32,0.449
0.363,0.637,0.972,0.864,0.726,0.093,0.32,0.449
0.363,0.637,0.972,0.865,0.726,0.093,0.32,0.449
0.363,0.637,0.972,0.864,0.726,0.093,0.32,0.449
0.363,0.637,0.972,0.864,0.726,0.093,0.32,0.449
0.363,0.637,0.972,0.864,0.727,0.093,0.32,0.449
0.363,0.637,0.972,0.864,0.726,0.093,0.32,0.449
