S1_C0301,S2_C0301,S3_C0301,S4_C0301,S5_C0301,S6_C0301,S7_C0301,S8_C0301
0.299,0.441,0.617,0.754,0.761,0.07,0.276,0.083
0.299,0.441,0.617,0.755,0.761,0.07,0.276,0.083
0.299,0.441,0.617,0.754,0.761,0.07,0.276,0.083
0.299,0.441,0.617,0.754,0.761,0.07,0.276,0.083
0.299,0.441,0.617,0.754,0.761,0.07,0.276,0.083
0.299,0.44,0.617,0.754,0.761,0.07,0.276,0.083
0.299,0.441,0.617,0.754,0.761,0.07,0.276,0.083
0.299,0.44,0.617,0.754,0.76,0.07,0.276,0.083
0.299,0.44,0.617,0.754,0.76,0.07,0.276,0.083
0.299,0.44,0.617,0.754,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.754,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.753,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.753,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.753,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.753,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.753,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.753,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.753,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.753,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.752,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.752,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.752,0.76,0.07,0.276,0.083
0.299,0.44,0.616,0.752,0.759,0.07,0.276,0.083
0.299,0.44,0.615,0.752,0.76,0.07,0.276,0.083
0.299,0.44,0.615,0.752,0.76,0.07,0.276,0.083
0.299,0.44,0.615,0.752,0.759,0.07,0.276,0.083
0.299,0.44,0.615,0.752,0.759,0.07,0.276,0.083
0.299,0.44,0.615,0.752,0.759,0.07,0.276,0.083
0.299,0.439,0.615,0.752,0.759,0.07,0.275,0.083
0.299,0.439,0.615,0.752,0.759,0.07,0.276,0.083
0.299,0.439,0.615,0.751,0.759,0.07,0.276,0.083
0.299,0.439,0.615,0.751,0.759,0.07,0.276,0.083
0.299,0.439,0.615,0.751,0.759,0.07,0.276,0.083
0.299,0.439,0.615,0.751,0.759,0.07,0.275,0.083
0.299,0.439,0.615,0.751,0.759,0.07,0.275,0.083
0.299,0.439,0.615,0.751,0.759,0.07,0.276,0.083
0.298,0.439,0.615,0.751,0.759,0.07,0.275,0.083
0.298,0.439,0.615,0.751,0.759,0.07,0.275,0.083
0.298,0.439,0.614,0.751,0.759,0.07,0.275,0.083
0.298,0.439,0.614,0.751,0.759,0.07,0.276,0.083
0.298,0.439,0.614,0.751,0.759,0.07,0.276,0.083
0.299,0.438,0.614,0.751,0.759,0.07,0.275,0.083
0.298,0.438,0.614,0.751,0.759,0.07,0.275,0.083
0.298,0.438,0.614,0.751,0.759,0.07,0.275,0.083
0.298,0.438,0.614,0.751,0.758,0.07,0.275,0.083
0.298,0.438,0.614,0.751,0.758,0.07,0.275,0.083
0.298,0.438,0.614,0.751,0.758,0.07,0.275,0.083
0.298,0.438,0.614,0.751,0.759,0.07,0.275,0.083
0.298,0.438,0.614,0.751,0.758,0.07,0.275,0.083
0.298,0.438,0.614,0.751,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.751,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.758,0.07,0.275,0.083
0.298,0.438,0.613,0.75,0.757,0.07,0.275,0.083
0.298,0.438,0.612,0.749,0.757,0.07,0.275,0.083
0.298,0.438,0.612,0.749,0.757,0.07,0.275,0.083
0.298,0.438,0.612,0.749,0.757,0.07,0.275,0.083
0.298,0.438,0.612,0.749,0.757,0.07,0.275,0.083
0.298,0.438,0.612,0.749,0.757,0.07,0.275,0.083
0.298,0.438,0.612,0.748,0.756,0.07,0.275,0.083
0.298,0.438,0.612,0.748,0.756,0.07,0.275,0.083
0.298,0.438,0.612,0.748,0.756,0.07,0.275,0.083
0.298,0.438,0.612,0.748,0.756,0.07,0.275,0.083
0.298,0.438,0.612,0.748,0.756,0.07,0.275,0.081
0.297,0.437,0.612,0.748,0.756,0.07,0.275,0.081
0.298,0.437,0.612,0.747,0.755,0.07,0.275,0.081
0.298,0.437,0.612,0.747,0.755,0.07,0.275,0.081
0.297,0.437,0.611,0.747,0.755,0.07,0.275,0.081
0.298,0.437,0.611,0.747,0.755,0.07,0.274,0.081
0.297,0.437,0.611,0.747,0.755,0.07,0.275,0.081
0.297,0.437,0.611,0.747,0.755,0.07,0.274,0.081
0.297,0.437,0.611,0.747,0.755,0.07,0.275,0.081
0.297,0.437,0.611,0.747,0.755,0.07,0.274,0.081
0.297,0.437,0.611,0.746,0.755,0.07,0.274,0.081
0.297,0.437,0.611,0.746,0.754,0.07,0.274,0.081
0.297,0.437,0.611,0.746,0.754,0.07,0.274,0.083
0.297,0.437,0.611,0.746,0.754,0.07,0.274,0.083
0.297,0.437,0.611,0.746,0.754,0.07,0.275,0.083
0.297,0.437,0.611,0.746,0.754,0.07,0.274,0.083
0.297,0.437,0.611,0.746,0.754,0.07,0.274,0.084
0.297,0.437,0.611,0.746,0.754,0.07,0.274,0.083
0.297,0.436,0.611,0.746,0.754,0.07,0.274,0.083
0.297,0.436,0.61,0.746,0.754,0.07,0.274,0.083
0.297,0.436,0.61,0.746,0.754,0.07,0.274,0.084
0.297,0.436,0.61,0.746,0.754,0.07,0.274,0.084
0.297,0.436,0.61,0.746,0.754,0.07,0.274,0.084
0.297,0.436,0.61,0.746,0.754,0.07,0.274,0.084
0.297,0.436,0.61,0.746,0.754,0.07,0.274,0.084
0.297,0.437,0.61,0.746,0.755,0.07,0.274,0.084
0.297,0.436,0.61,0.746,0.755,0.07,0.274,0.084
0.297,0.436,0.61,0.746,0.755,0.07,0.274,0.084
0.297,0.436,0.61,0.746,0.755,0.07,0.274,0.084
0.297,0.436,0.61,0.746,0.755,0.07,0.274,0.084
0.297,0.436,0.61,0.747,0.755,0.07,0.274,0.084
0.297,0.436,0.61,0.747,0.755,0.07,0.274,0.084
0.297,0.436,0.61,0.747,0.755,0.07,0.274,0.084
0.297,0.436,0.609,0.747,0.755,0.07,0.274,0.084
0.297,0.436,0.609,0.747,0.755,0.07,0.274,0.085
0.297,0.436,0.609,0.747,0.755,0.07,0.274,0.084
0.297,0.436,0.609,0.747,0.755,0.07,0.274,0.085
0.297,0.436,0.609,0.747,0.755,0.07,0.274,0.085
0.297,0.436,0.609,0.747,0.755,0.07,0.274,0.085
0.297,0.436,0.609,0.747,0.755,0.07,0.274,0.085
0.297,0.436,0.609,0.747,0.756,0.07,0.274,0.085
0.297,0.436,0.609,0.747,0.756,0.07,0.274,0.085
0.297,0.436,0.609,0.748,0.756,0.07,0.274,0.085
0.297,0.436,0.609,0.748,0.756,0.07,0.274,0.085
0.297,0.436,0.609,0.748,0.756,0.07,0.274,0.085
0.297,0.436,0.609,0.748,0.756,0.07,0.274,0.085
0.297,0.436,0.609,0.748,0.756,0.07,0.274,0.085
0.297,0.436,0.608,0.748,0.756,0.07,0.273,0.085
0.297,0.436,0.608,0.748,0.756,0.07,0.273,0.085
0.297,0.436,0.608,0.748,0.756,0.07,0.274,0.085
0.297,0.436,0.608,0.748,0.756,0.07,0.273,0.085
0.296,0.436,0.608,0.748,0.756,0.07,0.273,0.085
0.297,0.436,0.608,0.748,0.756,0.07,0.274,0.085
0.297,0.436,0.608,0.748,0.756,0.07,0.273,0.085
0.297,0.436,0.608,0.748,0.756,0.07,0.273,0.085
0.297,0.436,0.608,0.748,0.756,0.07,0.273,0.085
0.296,0.436,0.608,0.748,0.756,0.07,0.273,0.085
0.296,0.436,0.608,0.747,0.756,0.07,0.273,0.085
0.296,0.436,0.608,0.747,0.756,0.07,0.273,0.085
0.296,0.436,0.608,0.747,0.756,0.07,0.273,0.085
0.296,0.436,0.608,0.747,0.756,0.07,0.273,0.085
