S1_C0802,S2_C0802,S3_C0802,S4_C0802,S5_C0802,S6_C0802,S7_C0802,S8_C0802
0.124,0.208,0.312,0.362,0.348,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.348,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.348,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.348,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.207,0.312,0.362,0.347,0.062,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.207,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.062,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.313,0.363,0.348,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.348,0.061,0.118,0.223
0.124,0.207,0.312,0.361,0.347,0.061,0.118,0.223
0.123,0.207,0.311,0.36,0.346,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.346,0.061,0.117,0.222
0.124,0.208,0.312,0.362,0.348,0.061,0.118,0.223
0.124,0.208,0.313,0.363,0.348,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.348,0.061,0.118,0.223
0.124,0.207,0.311,0.361,0.347,0.061,0.118,0.223
0.123,0.207,0.311,0.36,0.346,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.346,0.061,0.117,0.222
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.312,0.363,0.348,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.207,0.312,0.361,0.347,0.061,0.118,0.223
0.123,0.207,0.31,0.36,0.346,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.346,0.061,0.117,0.222
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.312,0.363,0.348,0.062,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.207,0.312,0.362,0.346,0.061,0.118,0.223
0.123,0.207,0.311,0.36,0.346,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.346,0.061,0.117,0.221
0.124,0.208,0.312,0.362,0.347,0.062,0.118,0.223
0.124,0.208,0.313,0.362,0.347,0.062,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.207,0.311,0.361,0.347,0.061,0.118,0.222
0.123,0.207,0.31,0.36,0.345,0.061,0.117,0.221
0.124,0.207,0.311,0.361,0.346,0.061,0.117,0.222
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.062,0.118,0.223
0.124,0.207,0.311,0.362,0.346,0.061,0.118,0.222
0.123,0.206,0.31,0.361,0.345,0.061,0.117,0.221
0.124,0.207,0.311,0.361,0.346,0.061,0.117,0.222
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.222
0.124,0.208,0.312,0.363,0.347,0.062,0.118,0.223
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.207,0.311,0.362,0.347,0.061,0.118,0.222
0.123,0.207,0.31,0.36,0.345,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.346,0.061,0.117,0.221
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.222
0.124,0.208,0.312,0.363,0.348,0.062,0.118,0.223
0.124,0.207,0.312,0.362,0.347,0.061,0.118,0.223
0.124,0.207,0.311,0.362,0.347,0.061,0.118,0.223
0.123,0.207,0.31,0.361,0.345,0.061,0.117,0.222
0.124,0.207,0.31,0.361,0.346,0.061,0.117,0.221
0.124,0.208,0.312,0.362,0.347,0.062,0.118,0.223
0.124,0.208,0.312,0.362,0.348,0.061,0.118,0.223
0.124,0.207,0.312,0.362,0.347,0.061,0.118,0.223
0.123,0.207,0.311,0.362,0.347,0.061,0.117,0.222
0.123,0.206,0.31,0.36,0.345,0.061,0.117,0.222
0.124,0.207,0.31,0.361,0.346,0.061,0.117,0.221
0.124,0.208,0.312,0.362,0.347,0.061,0.118,0.222
0.124,0.208,0.312,0.363,0.347,0.061,0.118,0.223
0.124,0.207,0.311,0.362,0.347,0.061,0.118,0.223
0.123,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.206,0.31,0.36,0.346,0.061,0.117,0.222
0.123,0.207,0.31,0.361,0.345,0.061,0.117,0.222
0.124,0.207,0.312,0.362,0.347,0.061,0.118,0.222
0.124,0.207,0.311,0.362,0.347,0.061,0.118,0.222
0.124,0.207,0.311,0.362,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.362,0.347,0.061,0.118,0.222
0.124,0.207,0.311,0.362,0.347,0.061,0.117,0.223
0.124,0.207,0.311,0.362,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.118,0.222
0.124,0.207,0.311,0.362,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.118,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.062,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.118,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.123,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.361,0.347,0.061,0.117,0.222
0.123,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.123,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.123,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.31,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.062,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.062,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.31,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.123,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.124,0.207,0.311,0.36,0.347,0.061,0.117,0.222
0.123,0.207,0.31,0.36,0.347,0.061,0.117,0.223
0.123,0.207,0.311,0.36,0.347,0.061,0.117,0.222
