S1_C0202,S2_C0202,S3_C0202,S4_C0202,S5_C0202,S6_C0202,S7_C0202,S8_C0202
0.166,0.269,0.416,0.412,0.439,0.055,0.184,0.255
0.166,0.269,0.416,0.412,0.44,0.055,0.184,0.255
0.166,0.269,0.416,0.412,0.439,0.055,0.185,0.255
0.166,0.269,0.416,0.412,0.439,0.055,0.185,0.255
0.166,0.269,0.416,0.412,0.439,0.055,0.184,0.255
0.166,0.269,0.416,0.412,0.439,0.055,0.184,0.255
0.166,0.269,0.416,0.412,0.439,0.055,0.184,0.255
0.166,0.269,0.416,0.412,0.44,0.055,0.184,0.255
0.166,0.269,0.416,0.412,0.439,0.055,0.184,0.255
0.166,0.269,0.416,0.412,0.439,0.055,0.184,0.255
0.166,0.269,0.416,0.412,0.44,0.055,0.184,0.255
0.166,0.269,0.416,0.413,0.44,0.055,0.184,0.255
0.166,0.269,0.416,0.413,0.439,0.055,0.184,0.255
0.166,0.269,0.416,0.412,0.439,0.055,0.184,0.255
0.166,0.269,0.416,0.412,0.44,0.055,0.184,0.255
0.166,0.27,0.416,0.413,0.439,0.055,0.184,0.255
0.166,0.27,0.415,0.413,0.439,0.055,0.184,0.255
0.166,0.269,0.415,0.412,0.439,0.055,0.184,0.255
0.166,0.27,0.415,0.412,0.44,0.055,0.184,0.255
0.166,0.269,0.415,0.412,0.44,0.055,0.184,0.255
0.165,0.269,0.415,0.413,0.44,0.055,0.184,0.255
0.166,0.27,0.415,0.413,0.44,0.055,0.184,0.255
0.166,0.269,0.415,0.413,0.44,0.055,0.184,0.255
0.166,0.269,0.415,0.413,0.44,0.055,0.184,0.255
0.165,0.269,0.415,0.413,0.44,0.055,0.184,0.255
0.166,0.269,0.415,0.413,0.44,0.055,0.184,0.255
0.165,0.269,0.415,0.412,0.44,0.055,0.184,0.255
0.166,0.27,0.415,0.413,0.44,0.055,0.184,0.255
0.165,0.27,0.415,0.413,0.44,0.055,0.184,0.255
0.166,0.269,0.415,0.413,0.44,0.055,0.184,0.255
0.165,0.27,0.415,0.413,0.44,0.055,0.184,0.255
0.165,0.27,0.415,0.413,0.44,0.055,0.184,0.255
0.165,0.269,0.415,0.413,0.44,0.055,0.184,0.255
0.165,0.27,0.415,0.413,0.44,0.055,0.184,0.255
0.166,0.27,0.415,0.413,0.44,0.055,0.184,0.255
0.166,0.27,0.415,0.413,0.44,0.055,0.184,0.255
0.165,0.27,0.415,0.413,0.44,0.055,0.184,0.255
0.165,0.27,0.414,0.413,0.44,0.055,0.184,0.255
0.166,0.27,0.415,0.413,0.44,0.055,0.184,0.255
