S1_C0101,S2_C0101,S3_C0101,S4_C0101,S5_C0101,S6_C0101,S7_C0101,S8_C0101
0.224,0.259,0.354,0.516,0.559,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.559,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.559,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.559,0.058,0.139,0.277
0.224,0.259,0.354,0.516,0.559,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.139,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.139,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.139,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.139,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.139,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.14,0.277
0.224,0.259,0.354,0.516,0.558,0.058,0.14,0.277
0.224,0.258,0.353,0.515,0.558,0.058,0.14,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.14,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.258,0.354,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.14,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.354,0.515,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.354,0.515,0.558,0.058,0.139,0.277
0.224,0.258,0.354,0.515,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.059,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.14,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.515,0.558,0.058,0.139,0.277
0.224,0.259,0.353,0.516,0.557,0.059,0.139,0.277
0.224,0.259,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.557,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.14,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.557,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.557,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.14,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.059,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
0.224,0.258,0.353,0.516,0.558,0.058,0.139,0.277
