S1_D1002,S2_D1002,S3_D1002,S4_D1002,S5_D1002,S6_D1002,S7_D1002,S8_D1002
0.23,0.318,0.549,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.418,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.418,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.418,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.548,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.547,0.373,0.419,0.077,0.242,0.252
0.23,0.318,0.547,0.373,0.419,0.077,0.242,0.251
0.23,0.318,0.547,0.373,0.419,0.077,0.242,0.251
0.23,0.318,0.547,0.373,0.419,0.077,0.242,0.251
0.23,0.318,0.547,0.373,0.418,0.077,0.242,0.252
0.23,0.318,0.547,0.373,0.419,0.077,0.242,0.251
0.23,0.318,0.547,0.373,0.418,0.077,0.242,0.251
0.23,0.318,0.547,0.373,0.418,0.077,0.242,0.252
0.23,0.318,0.547,0.373,0.418,0.077,0.242,0.251
0.23,0.318,0.547,0.373,0.418,0.077,0.242,0.251
0.23,0.318,0.547,0.373,0.418,0.077,0.242,0.251
0.23,0.318,0.547,0.373,0.418,0.077,0.242,0.251
0.23,0.318,0.547,0.373,0.418,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.418,0.077,0.242,0.251
0.23,0.317,0.546,0.373,0.418,0.077,0.241,0.251
0.23,0.317,0.546,0.373,0.418,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.418,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.418,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.418,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.418,0.077,0.242,0.251
0.23,0.318,0.546,0.373,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.418,0.077,0.242,0.251
0.23,0.318,0.546,0.373,0.417,0.077,0.242,0.251
0.23,0.318,0.546,0.373,0.418,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.373,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.372,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.372,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.372,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.372,0.417,0.077,0.241,0.251
0.229,0.317,0.546,0.372,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.372,0.417,0.077,0.241,0.251
0.23,0.318,0.546,0.372,0.417,0.077,0.241,0.251
0.23,0.317,0.545,0.372,0.417,0.077,0.241,0.251
0.23,0.318,0.545,0.372,0.417,0.077,0.241,0.251
0.23,0.318,0.545,0.372,0.417,0.077,0.241,0.251
0.23,0.317,0.545,0.372,0.417,0.077,0.241,0.251
0.23,0.317,0.545,0.372,0.416,0.077,0.241,0.251
0.229,0.318,0.545,0.372,0.416,0.077,0.241,0.251
0.229,0.317,0.545,0.372,0.417,0.077,0.241,0.251
0.229,0.317,0.545,0.372,0.416,0.077,0.241,0.251
0.23,0.317,0.545,0.372,0.416,0.077,0.241,0.25
