S1_D1301,S2_D1301,S3_D1301,S4_D1301,S5_D1301,S6_D1301,S7_D1301,S8_D1301
0.222,0.485,0.566,0.521,0.627,0.065,0.22,0.315
0.222,0.485,0.566,0.521,0.627,0.065,0.22,0.315
0.222,0.485,0.566,0.521,0.627,0.065,0.22,0.315
0.222,0.485,0.566,0.521,0.627,0.065,0.22,0.315
0.222,0.485,0.566,0.52,0.627,0.065,0.219,0.315
0.222,0.485,0.566,0.521,0.627,0.065,0.22,0.315
0.222,0.485,0.566,0.52,0.627,0.066,0.219,0.315
0.222,0.485,0.566,0.521,0.627,0.065,0.219,0.315
0.222,0.484,0.566,0.52,0.627,0.065,0.219,0.315
0.222,0.484,0.566,0.52,0.627,0.065,0.219,0.315
0.222,0.484,0.566,0.52,0.627,0.065,0.219,0.315
0.222,0.484,0.565,0.52,0.627,0.065,0.219,0.315
0.222,0.484,0.565,0.52,0.627,0.065,0.219,0.315
0.222,0.484,0.565,0.52,0.627,0.065,0.219,0.315
0.222,0.484,0.565,0.52,0.627,0.065,0.219,0.315
0.222,0.484,0.565,0.52,0.626,0.065,0.219,0.315
0.222,0.484,0.565,0.52,0.626,0.065,0.219,0.315
0.222,0.484,0.565,0.52,0.626,0.065,0.219,0.315
0.222,0.484,0.565,0.52,0.626,0.065,0.219,0.315
0.222,0.484,0.565,0.52,0.626,0.065,0.219,0.314
0.222,0.484,0.565,0.52,0.626,0.065,0.219,0.315
0.222,0.484,0.565,0.52,0.626,0.065,0.219,0.314
0.222,0.483,0.564,0.519,0.626,0.065,0.219,0.314
0.222,0.483,0.565,0.519,0.626,0.065,0.219,0.315
0.222,0.483,0.564,0.519,0.626,0.065,0.219,0.314
0.221,0.483,0.564,0.519,0.626,0.065,0.219,0.315
0.222,0.483,0.564,0.519,0.626,0.065,0.219,0.314
0.222,0.483,0.564,0.519,0.626,0.066,0.219,0.314
0.222,0.483,0.564,0.519,0.626,0.065,0.219,0.315
0.221,0.483,0.564,0.519,0.626,0.065,0.219,0.314
0.222,0.483,0.564,0.519,0.626,0.065,0.219,0.314
0.222,0.483,0.564,0.519,0.626,0.065,0.219,0.314
0.222,0.483,0.564,0.519,0.626,0.065,0.219,0.314
0.221,0.483,0.564,0.519,0.626,0.065,0.218,0.314
0.221,0.483,0.564,0.519,0.626,0.065,0.219,0.314
0.222,0.483,0.564,0.519,0.626,0.065,0.219,0.314
0.221,0.483,0.564,0.519,0.626,0.065,0.218,0.314
0.221,0.483,0.564,0.519,0.626,0.065,0.219,0.314
0.222,0.482,0.564,0.519,0.626,0.065,0.219,0.314
0.221,0.482,0.564,0.519,0.626,0.065,0.218,0.314
0.221,0.482,0.564,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.519,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.518,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.518,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.518,0.625,0.065,0.218,0.314
0.221,0.482,0.563,0.518,0.625,0.065,0.218,0.314
0.221,0.482,0.562,0.518,0.625,0.065,0.218,0.314
0.221,0.482,0.562,0.518,0.625,0.065,0.218,0.314
0.221,0.482,0.562,0.518,0.625,0.065,0.218,0.314
0.221,0.482,0.562,0.518,0.625,0.065,0.218,0.314
0.221,0.482,0.562,0.518,0.625,0.065,0.218,0.314
0.221,0.482,0.562,0.518,0.625,0.065,0.218,0.314
0.221,0.482,0.562,0.518,0.625,0.065,0.218,0.314
0.221,0.481,0.562,0.518,0.625,0.065,0.218,0.314
0.221,0.481,0.562,0.518,0.624,0.065,0.218,0.314
0.221,0.481,0.562,0.518,0.624,0.065,0.218,0.314
0.221,0.481,0.562,0.518,0.624,0.065,0.218,0.314
0.221,0.481,0.562,0.518,0.624,0.065,0.218,0.314
0.221,0.481,0.562,0.518,0.624,0.065,0.218,0.314
0.221,0.481,0.562,0.518,0.624,0.065,0.218,0.314
