S1_D0401,S2_D0401,S3_D0401,S4_D0401,S5_D0401,S6_D0401,S7_D0401,S8_D0401
0.181,0.246,0.45,0.323,0.355,0.072,0.192,0.215
0.181,0.247,0.45,0.323,0.355,0.072,0.192,0.215
0.181,0.246,0.45,0.323,0.355,0.072,0.192,0.215
0.181,0.247,0.45,0.323,0.355,0.072,0.192,0.215
0.181,0.246,0.45,0.323,0.355,0.072,0.192,0.215
0.181,0.246,0.45,0.322,0.355,0.072,0.192,0.215
0.181,0.246,0.45,0.322,0.355,0.072,0.192,0.215
0.181,0.246,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.247,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.323,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.323,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.247,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.354,0.072,0.192,0.214
0.181,0.247,0.449,0.322,0.354,0.072,0.192,0.214
0.181,0.247,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.247,0.449,0.322,0.354,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.354,0.072,0.192,0.214
0.181,0.247,0.449,0.322,0.354,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.355,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.354,0.072,0.192,0.214
0.181,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.181,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.181,0.246,0.449,0.322,0.354,0.072,0.192,0.214
0.181,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.181,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.181,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.181,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.448,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.447,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.447,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.447,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.447,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.447,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.447,0.322,0.354,0.072,0.192,0.214
0.18,0.245,0.447,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.447,0.322,0.354,0.072,0.191,0.214
0.18,0.246,0.447,0.322,0.354,0.072,0.191,0.214
0.18,0.246,0.447,0.322,0.354,0.072,0.192,0.214
0.18,0.246,0.447,0.322,0.354,0.072,0.192,0.214
