S1_D0502,S2_D0502,S3_D0502,S4_D0502,S5_D0502,S6_D0502,S7_D0502,S8_D0502
0.261,0.309,0.568,0.468,0.534,0.081,0.239,0.31
0.261,0.309,0.568,0.468,0.534,0.082,0.239,0.31
0.261,0.309,0.567,0.468,0.534,0.081,0.239,0.309
0.261,0.309,0.567,0.468,0.534,0.081,0.239,0.309
0.261,0.309,0.567,0.468,0.534,0.081,0.239,0.309
0.26,0.309,0.567,0.468,0.534,0.081,0.239,0.309
0.26,0.309,0.567,0.468,0.534,0.082,0.239,0.309
0.26,0.309,0.567,0.468,0.534,0.081,0.239,0.309
0.26,0.309,0.567,0.468,0.533,0.081,0.238,0.309
0.26,0.309,0.566,0.468,0.533,0.081,0.238,0.309
0.26,0.309,0.567,0.467,0.533,0.081,0.238,0.309
0.26,0.309,0.566,0.467,0.533,0.081,0.238,0.309
0.26,0.308,0.566,0.467,0.533,0.081,0.238,0.309
0.26,0.308,0.566,0.467,0.533,0.081,0.239,0.308
0.26,0.309,0.566,0.467,0.533,0.081,0.238,0.308
0.26,0.308,0.566,0.467,0.532,0.081,0.238,0.308
0.26,0.308,0.566,0.467,0.532,0.081,0.238,0.308
0.259,0.308,0.566,0.467,0.532,0.081,0.238,0.308
0.26,0.308,0.566,0.467,0.532,0.081,0.238,0.308
0.259,0.309,0.566,0.467,0.532,0.081,0.238,0.308
0.259,0.308,0.565,0.467,0.532,0.081,0.238,0.308
0.259,0.308,0.565,0.467,0.532,0.081,0.238,0.308
0.259,0.308,0.565,0.466,0.531,0.081,0.238,0.308
0.259,0.308,0.565,0.466,0.531,0.081,0.238,0.308
0.259,0.308,0.565,0.466,0.531,0.081,0.238,0.308
0.259,0.308,0.565,0.466,0.531,0.081,0.238,0.307
0.259,0.308,0.565,0.466,0.531,0.081,0.238,0.307
0.259,0.308,0.564,0.466,0.531,0.081,0.238,0.307
0.259,0.308,0.564,0.466,0.53,0.081,0.238,0.307
0.259,0.308,0.564,0.466,0.53,0.081,0.238,0.307
0.259,0.308,0.564,0.466,0.53,0.081,0.238,0.307
0.258,0.308,0.564,0.465,0.53,0.081,0.238,0.307
0.258,0.308,0.564,0.465,0.53,0.081,0.238,0.307
0.258,0.308,0.564,0.465,0.53,0.081,0.238,0.307
0.258,0.308,0.564,0.465,0.529,0.081,0.238,0.307
0.258,0.308,0.564,0.465,0.529,0.081,0.238,0.307
0.258,0.308,0.564,0.465,0.529,0.081,0.237,0.307
0.258,0.308,0.563,0.464,0.529,0.081,0.238,0.307
0.258,0.308,0.563,0.464,0.529,0.081,0.237,0.306
0.258,0.308,0.563,0.464,0.529,0.081,0.237,0.307
0.258,0.307,0.563,0.464,0.529,0.081,0.237,0.306
0.258,0.308,0.563,0.464,0.529,0.081,0.237,0.306
0.258,0.307,0.563,0.464,0.529,0.081,0.237,0.306
0.257,0.307,0.563,0.464,0.528,0.081,0.237,0.306
0.258,0.307,0.562,0.464,0.528,0.081,0.237,0.306
0.257,0.307,0.562,0.464,0.528,0.081,0.237,0.306
0.257,0.307,0.562,0.463,0.528,0.081,0.237,0.306
0.257,0.307,0.562,0.463,0.528,0.081,0.237,0.306
0.257,0.307,0.562,0.463,0.528,0.081,0.237,0.306
0.257,0.307,0.562,0.463,0.527,0.081,0.237,0.306
0.257,0.307,0.562,0.463,0.527,0.081,0.237,0.305
0.257,0.307,0.562,0.463,0.527,0.081,0.237,0.305
0.257,0.307,0.562,0.463,0.527,0.081,0.237,0.305
0.257,0.307,0.561,0.462,0.527,0.081,0.237,0.305
0.257,0.307,0.561,0.462,0.527,0.081,0.237,0.305
0.257,0.307,0.561,0.462,0.527,0.081,0.237,0.305
0.257,0.307,0.561,0.462,0.527,0.081,0.237,0.305
0.257,0.307,0.561,0.462,0.527,0.081,0.237,0.305
0.257,0.306,0.561,0.462,0.527,0.081,0.237,0.305
0.256,0.306,0.561,0.462,0.526,0.081,0.237,0.305
0.256,0.306,0.561,0.462,0.526,0.081,0.237,0.305
0.256,0.306,0.561,0.462,0.526,0.081,0.237,0.304
0.256,0.306,0.561,0.462,0.526,0.081,0.237,0.304
0.256,0.306,0.561,0.462,0.526,0.081,0.236,0.305
0.256,0.306,0.56,0.462,0.526,0.081,0.236,0.305
0.256,0.306,0.56,0.462,0.526,0.081,0.237,0.305
0.256,0.306,0.56,0.462,0.526,0.081,0.237,0.305
0.256,0.306,0.56,0.462,0.526,0.081,0.236,0.305
0.256,0.306,0.56,0.463,0.527,0.081,0.236,0.305
0.256,0.306,0.56,0.463,0.527,0.081,0.236,0.305
0.256,0.306,0.56,0.463,0.527,0.081,0.237,0.305
0.256,0.306,0.56,0.463,0.527,0.081,0.236,0.306
0.256,0.306,0.56,0.464,0.527,0.081,0.236,0.306
0.256,0.307,0.56,0.464,0.528,0.081,0.236,0.306
0.256,0.307,0.559,0.465,0.528,0.081,0.236,0.307
0.256,0.307,0.559,0.465,0.528,0.081,0.236,0.307
0.256,0.307,0.559,0.466,0.529,0.081,0.236,0.308
0.256,0.307,0.559,0.466,0.529,0.081,0.236,0.308
0.256,0.307,0.559,0.467,0.53,0.081,0.236,0.309
0.255,0.307,0.559,0.467,0.53,0.081,0.236,0.309
0.256,0.308,0.559,0.468,0.53,0.081,0.236,0.31
0.255,0.308,0.559,0.469,0.531,0.081,0.236,0.311
0.255,0.308,0.559,0.469,0.531,0.081,0.236,0.311
0.255,0.308,0.559,0.47,0.532,0.081,0.236,0.312
0.255,0.308,0.559,0.471,0.532,0.081,0.236,0.313
0.255,0.309,0.559,0.471,0.532,0.081,0.236,0.313
0.255,0.309,0.559,0.472,0.533,0.081,0.236,0.314
0.255,0.309,0.558,0.473,0.533,0.081,0.236,0.315
0.255,0.31,0.558,0.473,0.534,0.081,0.236,0.315
0.255,0.31,0.558,0.474,0.534,0.081,0.236,0.316
0.255,0.31,0.558,0.475,0.535,0.081,0.236,0.317
0.255,0.31,0.558,0.475,0.535,0.081,0.236,0.317
