S1_D0201,S2_D0201,S3_D0201,S4_D0201,S5_D0201,S6_D0201,S7_D0201,S8_D0201
0.243,0.321,0.538,0.344,0.392,0.077,0.225,0.231
0.243,0.321,0.538,0.344,0.392,0.077,0.224,0.231
0.243,0.321,0.538,0.344,0.391,0.077,0.224,0.231
0.243,0.321,0.538,0.344,0.392,0.077,0.224,0.231
0.243,0.32,0.538,0.344,0.392,0.077,0.224,0.231
0.243,0.321,0.538,0.344,0.392,0.077,0.225,0.231
0.243,0.321,0.538,0.344,0.391,0.077,0.224,0.231
0.243,0.32,0.538,0.344,0.391,0.077,0.224,0.231
0.243,0.321,0.538,0.344,0.392,0.077,0.224,0.231
0.243,0.321,0.538,0.344,0.392,0.077,0.224,0.231
0.243,0.321,0.538,0.344,0.392,0.077,0.225,0.231
0.243,0.321,0.538,0.344,0.391,0.077,0.224,0.231
0.243,0.32,0.537,0.344,0.391,0.077,0.224,0.231
0.242,0.32,0.537,0.344,0.391,0.077,0.224,0.231
0.242,0.321,0.537,0.344,0.391,0.077,0.224,0.231
0.242,0.32,0.537,0.344,0.391,0.077,0.224,0.231
0.242,0.321,0.537,0.344,0.391,0.077,0.224,0.231
0.242,0.32,0.537,0.344,0.391,0.077,0.224,0.231
0.242,0.321,0.537,0.344,0.391,0.077,0.224,0.231
0.242,0.32,0.537,0.344,0.391,0.077,0.224,0.23
0.242,0.32,0.536,0.344,0.391,0.077,0.224,0.23
0.242,0.321,0.537,0.344,0.391,0.077,0.224,0.23
0.242,0.321,0.537,0.344,0.39,0.077,0.224,0.231
0.242,0.321,0.536,0.344,0.39,0.077,0.224,0.231
0.242,0.321,0.536,0.344,0.39,0.077,0.224,0.23
0.242,0.321,0.536,0.344,0.39,0.077,0.224,0.23
0.242,0.321,0.536,0.344,0.39,0.077,0.224,0.23
0.242,0.321,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.321,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.321,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.321,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.535,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.535,0.343,0.39,0.077,0.223,0.23
0.242,0.32,0.535,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.535,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.536,0.343,0.39,0.077,0.224,0.23
0.242,0.32,0.535,0.343,0.39,0.077,0.223,0.23
0.242,0.32,0.535,0.343,0.39,0.077,0.223,0.23
0.242,0.32,0.535,0.343,0.39,0.077,0.223,0.23
0.242,0.32,0.535,0.343,0.39,0.077,0.223,0.23
0.241,0.32,0.535,0.343,0.39,0.077,0.223,0.23
0.242,0.32,0.535,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.535,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.535,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.535,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.535,0.343,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.534,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.39,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.389,0.077,0.223,0.23
0.241,0.32,0.533,0.342,0.389,0.077,0.223,0.23
0.24,0.32,0.532,0.342,0.389,0.077,0.223,0.23
0.241,0.32,0.532,0.342,0.389,0.077,0.222,0.23
0.241,0.32,0.532,0.342,0.389,0.077,0.222,0.23
0.241,0.319,0.532,0.342,0.389,0.077,0.222,0.23
0.241,0.32,0.532,0.342,0.389,0.077,0.222,0.23
0.241,0.32,0.532,0.342,0.389,0.077,0.222,0.23
0.241,0.319,0.532,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.532,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.532,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.532,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.531,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.531,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.531,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.531,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.531,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.531,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.531,0.341,0.389,0.077,0.222,0.23
0.24,0.318,0.531,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.531,0.341,0.389,0.077,0.222,0.23
0.24,0.319,0.531,0.341,0.389,0.077,0.222,0.23
0.24,0.318,0.531,0.341,0.389,0.077,0.222,0.229
0.24,0.318,0.531,0.341,0.389,0.077,0.222,0.229
0.24,0.318,0.53,0.341,0.389,0.077,0.222,0.229
0.24,0.318,0.53,0.34,0.389,0.077,0.222,0.229
0.24,0.319,0.53,0.34,0.389,0.077,0.222,0.229
0.24,0.318,0.53,0.341,0.389,0.077,0.222,0.229
0.24,0.318,0.53,0.34,0.389,0.077,0.222,0.229
0.24,0.318,0.53,0.34,0.389,0.077,0.222,0.229
0.24,0.319,0.53,0.34,0.389,0.077,0.222,0.229
0.24,0.319,0.53,0.34,0.389,0.077,0.222,0.229
0.24,0.319,0.53,0.341,0.389,0.077,0.222,0.229
0.239,0.319,0.53,0.34,0.388,0.077,0.222,0.229
0.24,0.319,0.53,0.34,0.389,0.077,0.222,0.229
0.239,0.318,0.53,0.34,0.388,0.077,0.222,0.229
0.24,0.319,0.53,0.34,0.388,0.077,0.222,0.229
0.24,0.319,0.53,0.341,0.389,0.077,0.222,0.229
0.24,0.319,0.53,0.34,0.389,0.077,0.222,0.229
