S1_D0202,S2_D0202,S3_D0202,S4_D0202,S5_D0202,S6_D0202,S7_D0202,S8_D0202
0.213,0.292,0.487,0.328,0.371,0.075,0.21,0.222
0.214,0.292,0.487,0.327,0.371,0.075,0.21,0.222
0.214,0.292,0.487,0.328,0.371,0.075,0.21,0.222
0.214,0.292,0.487,0.328,0.371,0.075,0.21,0.222
0.214,0.292,0.486,0.328,0.371,0.076,0.21,0.222
0.213,0.292,0.486,0.328,0.371,0.075,0.21,0.222
0.214,0.292,0.486,0.328,0.371,0.076,0.21,0.221
0.213,0.292,0.486,0.327,0.371,0.075,0.21,0.221
0.214,0.292,0.486,0.328,0.371,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.371,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.371,0.075,0.21,0.222
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.214,0.292,0.486,0.328,0.37,0.075,0.21,0.221
0.214,0.292,0.486,0.327,0.37,0.076,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.214,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.292,0.486,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.484,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.369,0.075,0.21,0.221
0.213,0.291,0.485,0.327,0.369,0.075,0.21,0.221
0.213,0.291,0.484,0.327,0.369,0.075,0.21,0.221
0.213,0.291,0.484,0.327,0.369,0.075,0.21,0.221
0.213,0.291,0.484,0.327,0.37,0.075,0.21,0.221
0.213,0.291,0.484,0.327,0.369,0.075,0.21,0.221
0.213,0.291,0.484,0.326,0.369,0.075,0.21,0.221
0.213,0.291,0.484,0.326,0.369,0.075,0.21,0.221
0.213,0.291,0.484,0.326,0.369,0.075,0.21,0.221
0.213,0.291,0.484,0.327,0.37,0.075,0.21,0.221
0.213,0.29,0.484,0.326,0.369,0.075,0.209,0.221
0.213,0.29,0.484,0.326,0.37,0.075,0.209,0.221
0.213,0.29,0.484,0.326,0.37,0.075,0.209,0.221
0.213,0.29,0.484,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.484,0.326,0.37,0.075,0.209,0.221
0.213,0.291,0.484,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.484,0.326,0.37,0.075,0.209,0.221
0.213,0.291,0.484,0.326,0.37,0.075,0.209,0.221
0.213,0.291,0.484,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.484,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.484,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.484,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.484,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.483,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.483,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.483,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.483,0.326,0.369,0.075,0.209,0.22
0.213,0.291,0.483,0.326,0.369,0.075,0.209,0.221
0.213,0.29,0.483,0.326,0.369,0.075,0.209,0.221
0.213,0.291,0.483,0.326,0.369,0.075,0.209,0.22
0.213,0.29,0.483,0.326,0.369,0.075,0.209,0.22
0.213,0.29,0.483,0.326,0.369,0.075,0.209,0.22
