S1_D1201,S2_D1201,S3_D1201,S4_D1201,S5_D1201,S6_D1201,S7_D1201,S8_D1201
0.228,0.292,0.55,0.436,0.525,0.076,0.24,0.281
0.228,0.292,0.55,0.436,0.525,0.076,0.24,0.281
0.228,0.292,0.55,0.436,0.525,0.076,0.24,0.281
0.228,0.292,0.549,0.436,0.525,0.076,0.24,0.281
0.228,0.292,0.549,0.436,0.525,0.076,0.24,0.281
0.228,0.292,0.549,0.436,0.525,0.076,0.24,0.281
0.227,0.292,0.549,0.436,0.524,0.076,0.24,0.281
0.228,0.292,0.549,0.436,0.524,0.076,0.24,0.281
0.227,0.292,0.549,0.436,0.524,0.076,0.24,0.281
0.228,0.292,0.549,0.436,0.524,0.076,0.24,0.28
0.227,0.292,0.549,0.435,0.524,0.076,0.24,0.28
0.228,0.292,0.549,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.549,0.436,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.291,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.239,0.28
0.227,0.292,0.548,0.435,0.524,0.076,0.24,0.28
0.227,0.292,0.547,0.435,0.523,0.076,0.239,0.28
0.227,0.292,0.547,0.435,0.523,0.076,0.239,0.28
0.227,0.292,0.547,0.435,0.523,0.076,0.239,0.28
0.227,0.292,0.547,0.435,0.523,0.076,0.239,0.28
0.227,0.292,0.547,0.435,0.523,0.076,0.239,0.28
0.227,0.292,0.547,0.435,0.523,0.076,0.239,0.28
0.227,0.292,0.547,0.435,0.523,0.076,0.239,0.28
0.227,0.292,0.547,0.435,0.523,0.076,0.239,0.28
0.227,0.292,0.547,0.435,0.523,0.076,0.239,0.28
0.227,0.292,0.547,0.435,0.523,0.076,0.239,0.28
0.227,0.291,0.547,0.434,0.523,0.076,0.239,0.28
0.227,0.292,0.547,0.434,0.523,0.076,0.239,0.28
0.227,0.291,0.547,0.434,0.523,0.076,0.239,0.28
0.226,0.291,0.546,0.434,0.523,0.076,0.239,0.28
0.226,0.291,0.546,0.434,0.523,0.076,0.239,0.28
0.226,0.291,0.546,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.546,0.434,0.523,0.076,0.239,0.279
0.226,0.291,0.546,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.546,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.546,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.546,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.546,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.546,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.546,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.545,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.545,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.545,0.434,0.522,0.076,0.239,0.279
0.226,0.29,0.545,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.545,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.545,0.434,0.522,0.076,0.238,0.279
0.226,0.291,0.545,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.545,0.434,0.522,0.076,0.239,0.279
0.226,0.29,0.545,0.434,0.522,0.076,0.238,0.279
0.226,0.29,0.545,0.434,0.522,0.076,0.239,0.279
0.226,0.291,0.545,0.434,0.521,0.076,0.238,0.279
