S1_D0901,S2_D0901,S3_D0901,S4_D0901,S5_D0901,S6_D0901,S7_D0901,S8_D0901
0.371,0.513,0.734,0.446,0.523,0.088,0.299,0.317
0.371,0.513,0.734,0.446,0.523,0.088,0.299,0.317
0.371,0.513,0.734,0.446,0.522,0.088,0.299,0.316
0.371,0.513,0.734,0.446,0.522,0.088,0.299,0.316
0.371,0.513,0.734,0.446,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.446,0.522,0.088,0.299,0.316
0.371,0.513,0.734,0.446,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.446,0.522,0.088,0.299,0.316
0.37,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.37,0.512,0.733,0.446,0.522,0.088,0.299,0.316
0.37,0.513,0.733,0.446,0.522,0.088,0.299,0.316
0.37,0.512,0.733,0.445,0.522,0.088,0.299,0.317
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.446,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.37,0.512,0.734,0.446,0.523,0.088,0.299,0.316
0.371,0.512,0.733,0.446,0.522,0.088,0.299,0.317
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.37,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.37,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.734,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.523,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.734,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.523,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.734,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.512,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.734,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.734,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.734,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.734,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.371,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.37,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.37,0.513,0.733,0.445,0.522,0.088,0.299,0.316
0.37,0.513,0.733,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.444,0.521,0.088,0.298,0.316
0.37,0.512,0.733,0.444,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.444,0.521,0.088,0.298,0.316
0.37,0.512,0.733,0.444,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.733,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.444,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.733,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.733,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.733,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.733,0.444,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.315
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.513,0.732,0.443,0.522,0.088,0.299,0.316
0.37,0.513,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.513,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.513,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.513,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.513,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.513,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.513,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.442,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.442,0.521,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.522,0.088,0.298,0.317
0.371,0.512,0.732,0.443,0.522,0.088,0.298,0.317
0.37,0.512,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.522,0.088,0.299,0.316
0.37,0.512,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.512,0.732,0.443,0.523,0.088,0.299,0.316
0.37,0.511,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.511,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.511,0.731,0.443,0.522,0.088,0.298,0.316
0.37,0.511,0.732,0.443,0.522,0.088,0.298,0.316
0.37,0.511,0.732,0.443,0.522,0.088,0.299,0.316
0.37,0.511,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.523,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.523,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.523,0.088,0.298,0.316
0.37,0.51,0.731,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.523,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.522,0.088,0.298,0.315
0.37,0.51,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.732,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.731,0.444,0.522,0.088,0.298,0.316
0.37,0.51,0.731,0.444,0.522,0.088,0.298,0.316
0.37,0.509,0.731,0.444,0.522,0.088,0.298,0.316
0.37,0.509,0.731,0.444,0.521,0.088,0.298,0.315
0.37,0.509,0.731,0.443,0.521,0.088,0.298,0.315
0.37,0.509,0.731,0.443,0.521,0.088,0.298,0.316
0.37,0.509,0.731,0.444,0.521,0.088,0.298,0.316
0.37,0.509,0.731,0.444,0.521,0.088,0.298,0.316
0.37,0.509,0.731,0.444,0.521,0.088,0.298,0.315
0.37,0.509,0.731,0.443,0.521,0.088,0.298,0.315
0.37,0.509,0.731,0.443,0.521,0.088,0.298,0.315
0.37,0.509,0.731,0.443,0.521,0.088,0.298,0.315
0.37,0.51,0.731,0.443,0.521,0.088,0.298,0.315
0.37,0.51,0.731,0.443,0.521,0.088,0.298,0.315
0.37,0.51,0.731,0.443,0.521,0.088,0.298,0.315
0.37,0.51,0.731,0.443,0.521,0.088,0.298,0.315
0.37,0.509,0.731,0.443,0.521,0.088,0.298,0.315
0.37,0.509,0.731,0.443,0.521,0.088,0.298,0.315
0.37,0.509,0.73,0.443,0.521,0.088,0.298,0.315
0.37,0.509,0.73,0.443,0.521,0.088,0.298,0.315
0.37,0.509,0.73,0.443,0.52,0.088,0.298,0.315
0.369,0.509,0.73,0.443,0.52,0.088,0.298,0.315
0.37,0.509,0.73,0.443,0.52,0.088,0.298,0.315
0.37,0.509,0.73,0.443,0.521,0.088,0.298,0.315
0.37,0.509,0.73,0.443,0.521,0.088,0.298,0.315
0.37,0.509,0.73,0.443,0.521,0.088,0.298,0.315
0.37,0.508,0.73,0.443,0.521,0.088,0.298,0.315
0.369,0.509,0.73,0.443,0.52,0.088,0.298,0.315
0.369,0.508,0.73,0.443,0.52,0.088,0.298,0.315
0.369,0.509,0.73,0.442,0.52,0.088,0.298,0.315
0.37,0.508,0.73,0.442,0.52,0.088,0.297,0.315
0.369,0.509,0.73,0.442,0.52,0.088,0.298,0.315
0.369,0.509,0.729,0.442,0.52,0.088,0.297,0.315
0.369,0.509,0.73,0.443,0.52,0.088,0.298,0.315
0.369,0.508,0.73,0.442,0.52,0.088,0.298,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.298,0.314
0.369,0.509,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.507,0.729,0.442,0.52,0.088,0.297,0.314
0.369,0.507,0.728,0.442,0.52,0.088,0.297,0.314
0.369,0.507,0.728,0.442,0.52,0.088,0.297,0.314
0.369,0.507,0.728,0.442,0.52,0.088,0.297,0.314
0.369,0.508,0.73,0.443,0.521,0.088,0.298,0.315
0.369,0.507,0.729,0.443,0.521,0.088,0.297,0.314
0.367,0.505,0.726,0.441,0.519,0.088,0.297,0.313
0.366,0.503,0.723,0.439,0.516,0.087,0.295,0.312
0.368,0.505,0.725,0.44,0.517,0.088,0.295,0.311
0.37,0.508,0.73,0.443,0.521,0.088,0.297,0.314
0.369,0.507,0.729,0.443,0.521,0.088,0.298,0.314
0.369,0.507,0.728,0.443,0.52,0.088,0.297,0.314
0.367,0.504,0.726,0.441,0.518,0.088,0.297,0.313
0.366,0.502,0.722,0.439,0.516,0.087,0.295,0.311
0.367,0.505,0.725,0.44,0.517,0.087,0.295,0.311
0.37,0.507,0.729,0.443,0.52,0.088,0.297,0.313
0.369,0.506,0.729,0.443,0.52,0.088,0.298,0.314
0.369,0.506,0.728,0.442,0.52,0.088,0.297,0.314
0.367,0.504,0.726,0.441,0.518,0.088,0.296,0.313
0.366,0.502,0.723,0.438,0.516,0.087,0.295,0.311
0.368,0.504,0.725,0.44,0.517,0.087,0.295,0.311
0.37,0.507,0.729,0.443,0.52,0.088,0.297,0.313
0.369,0.506,0.729,0.443,0.52,0.088,0.297,0.314
0.369,0.506,0.728,0.442,0.519,0.088,0.297,0.313
0.367,0.503,0.725,0.441,0.518,0.087,0.296,0.313
0.365,0.501,0.722,0.438,0.515,0.087,0.295,0.311
0.367,0.504,0.725,0.44,0.516,0.088,0.295,0.311
0.369,0.507,0.729,0.443,0.52,0.088,0.297,0.313
0.369,0.506,0.728,0.442,0.519,0.088,0.297,0.314
0.368,0.506,0.728,0.442,0.519,0.088,0.297,0.313
0.367,0.504,0.725,0.441,0.517,0.088,0.296,0.313
0.365,0.502,0.721,0.438,0.515,0.087,0.295,0.311
0.367,0.504,0.725,0.44,0.516,0.087,0.295,0.311
0.369,0.507,0.729,0.443,0.519,0.088,0.297,0.313
0.369,0.506,0.728,0.442,0.519,0.088,0.297,0.314
0.368,0.506,0.728,0.442,0.519,0.088,0.297,0.313
0.367,0.504,0.725,0.44,0.517,0.088,0.296,0.313
0.365,0.502,0.721,0.438,0.514,0.087,0.294,0.311
0.368,0.504,0.725,0.44,0.515,0.087,0.295,0.311
0.369,0.507,0.729,0.442,0.519,0.088,0.297,0.313
0.369,0.506,0.728,0.442,0.519,0.088,0.297,0.314
0.368,0.506,0.727,0.442,0.518,0.088,0.297,0.313
0.366,0.503,0.724,0.44,0.516,0.087,0.296,0.313
0.365,0.502,0.721,0.438,0.514,0.087,0.294,0.311
0.367,0.504,0.725,0.44,0.515,0.087,0.295,0.311
0.369,0.507,0.728,0.442,0.519,0.088,0.297,0.313
0.369,0.506,0.728,0.442,0.518,0.088,0.297,0.314
0.368,0.506,0.727,0.441,0.518,0.088,0.297,0.313
0.366,0.503,0.724,0.439,0.516,0.087,0.296,0.313
0.365,0.502,0.721,0.437,0.513,0.087,0.294,0.311
0.368,0.504,0.725,0.439,0.515,0.087,0.295,0.311
0.369,0.507,0.728,0.442,0.519,0.088,0.297,0.313
0.369,0.506,0.727,0.441,0.518,0.088,0.297,0.314
0.368,0.505,0.727,0.441,0.518,0.088,0.297,0.313
0.366,0.503,0.723,0.439,0.516,0.087,0.296,0.313
0.365,0.501,0.721,0.437,0.513,0.087,0.294,0.311
0.368,0.504,0.724,0.439,0.516,0.087,0.295,0.312
0.369,0.506,0.728,0.442,0.519,0.088,0.297,0.314
0.369,0.506,0.727,0.441,0.518,0.088,0.297,0.314
0.368,0.505,0.726,0.441,0.518,0.088,0.297,0.313
0.366,0.502,0.723,0.439,0.516,0.087,0.295,0.313
0.366,0.501,0.72,0.437,0.513,0.087,0.294,0.311
