S1_D1401,S2_D1401,S3_D1401,S4_D1401,S5_D1401,S6_D1401,S7_D1401,S8_D1401
0.178,0.302,0.47,0.467,0.518,0.056,0.183,0.267
0.178,0.302,0.47,0.467,0.518,0.056,0.183,0.267
0.178,0.302,0.47,0.467,0.518,0.056,0.183,0.267
0.177,0.302,0.47,0.467,0.518,0.056,0.183,0.267
0.178,0.302,0.47,0.467,0.518,0.056,0.183,0.267
0.178,0.302,0.47,0.467,0.518,0.056,0.183,0.267
0.177,0.302,0.47,0.467,0.518,0.056,0.183,0.267
0.177,0.302,0.47,0.467,0.518,0.056,0.183,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.178,0.302,0.469,0.467,0.518,0.056,0.183,0.267
0.178,0.302,0.47,0.467,0.518,0.056,0.183,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.183,0.267
0.178,0.302,0.469,0.467,0.518,0.056,0.183,0.267
0.178,0.302,0.469,0.467,0.518,0.056,0.183,0.267
0.178,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.178,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.178,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.178,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.178,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.178,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.178,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.518,0.056,0.182,0.267
0.177,0.302,0.469,0.467,0.519,0.056,0.182,0.267
0.178,0.302,0.469,0.467,0.519,0.056,0.182,0.267
0.178,0.302,0.469,0.467,0.519,0.056,0.182,0.267
