S1_D0701,S2_D0701,S3_D0701,S4_D0701,S5_D0701,S6_D0701,S7_D0701,S8_D0701
0.153,0.252,0.375,0.302,0.35,0.07,0.177,0.207
0.152,0.252,0.375,0.302,0.35,0.071,0.177,0.207
0.153,0.252,0.375,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.375,0.302,0.35,0.071,0.176,0.207
0.152,0.252,0.375,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.375,0.302,0.35,0.071,0.176,0.207
0.152,0.252,0.375,0.302,0.35,0.071,0.176,0.207
0.152,0.252,0.375,0.302,0.35,0.071,0.177,0.207
0.152,0.252,0.375,0.302,0.35,0.071,0.176,0.207
0.152,0.252,0.375,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.375,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.375,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.375,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.071,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.071,0.177,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.071,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.071,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.071,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.071,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.071,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.253,0.374,0.302,0.349,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.253,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.302,0.35,0.07,0.176,0.207
0.152,0.253,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.374,0.301,0.349,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.253,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.302,0.349,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.071,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.071,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.253,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.071,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.253,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
0.152,0.252,0.373,0.301,0.35,0.07,0.176,0.207
