S1_D1901,S2_D1901,S3_D1901,S4_D1901,S5_D1901,S6_D1901,S7_D1901,S8_D1901
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.268,0.309,0.069,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.269,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.188
0.144,0.221,0.321,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.188
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.188
0.144,0.221,0.321,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.321,0.268,0.309,0.07,0.157,0.187
0.144,0.221,0.322,0.268,0.309,0.07,0.157,0.187
