S1_D0102,S2_D0102,S3_D0102,S4_D0102,S5_D0102,S6_D0102,S7_D0102,S8_D0102
0.277,0.351,0.577,0.36,0.416,0.078,0.232,0.241
0.277,0.351,0.577,0.359,0.416,0.078,0.232,0.241
0.277,0.351,0.577,0.36,0.416,0.078,0.232,0.24
0.277,0.351,0.577,0.36,0.416,0.078,0.232,0.241
0.276,0.351,0.577,0.36,0.416,0.078,0.232,0.241
0.277,0.351,0.577,0.359,0.416,0.078,0.232,0.241
0.277,0.351,0.576,0.359,0.416,0.078,0.232,0.24
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.241
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.24
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.241
0.277,0.351,0.576,0.36,0.416,0.078,0.232,0.24
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.241
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.24
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.24
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.24
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.241
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.241
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.24
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.24
0.276,0.352,0.576,0.359,0.416,0.078,0.232,0.241
0.276,0.352,0.576,0.359,0.416,0.078,0.232,0.241
0.276,0.352,0.576,0.359,0.416,0.078,0.232,0.241
0.276,0.352,0.576,0.359,0.416,0.078,0.232,0.24
0.276,0.351,0.576,0.359,0.416,0.078,0.232,0.241
0.276,0.352,0.576,0.359,0.416,0.078,0.232,0.241
0.276,0.352,0.576,0.359,0.415,0.078,0.232,0.241
0.276,0.352,0.576,0.359,0.415,0.078,0.232,0.241
0.276,0.352,0.576,0.359,0.416,0.078,0.232,0.241
0.276,0.352,0.576,0.359,0.415,0.078,0.232,0.241
0.276,0.352,0.575,0.359,0.415,0.078,0.232,0.241
0.276,0.352,0.576,0.359,0.415,0.078,0.232,0.241
0.276,0.352,0.575,0.359,0.415,0.078,0.232,0.241
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.241
0.276,0.352,0.575,0.359,0.415,0.078,0.232,0.241
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.241
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.241
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.241
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.24
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.24
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.24
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.24
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.24
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.24
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.24
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.24
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.24
0.276,0.351,0.575,0.359,0.415,0.078,0.232,0.24
0.276,0.351,0.574,0.359,0.415,0.078,0.232,0.24
0.276,0.35,0.575,0.359,0.415,0.078,0.232,0.24
