S1_D1101,S2_D1101,S3_D1101,S4_D1101,S5_D1101,S6_D1101,S7_D1101,S8_D1101
0.207,0.265,0.463,0.397,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.397,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.264,0.463,0.396,0.498,0.073,0.216,0.263
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.264,0.463,0.396,0.498,0.073,0.216,0.263
0.207,0.265,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.264,0.463,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.463,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.463,0.396,0.498,0.073,0.216,0.264
0.207,0.264,0.463,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.463,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.498,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.497,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.497,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.497,0.073,0.216,0.263
0.207,0.264,0.462,0.395,0.497,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.497,0.073,0.216,0.263
0.207,0.264,0.462,0.395,0.497,0.073,0.215,0.263
0.207,0.264,0.462,0.395,0.497,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.497,0.073,0.215,0.263
0.207,0.264,0.462,0.395,0.497,0.073,0.216,0.263
0.207,0.264,0.462,0.396,0.497,0.073,0.215,0.263
0.207,0.264,0.462,0.395,0.497,0.073,0.216,0.263
0.207,0.264,0.462,0.395,0.497,0.073,0.215,0.263
0.207,0.264,0.462,0.395,0.497,0.073,0.215,0.263
0.207,0.264,0.462,0.395,0.497,0.073,0.215,0.263
0.207,0.264,0.461,0.395,0.497,0.073,0.215,0.263
0.207,0.264,0.461,0.395,0.497,0.073,0.215,0.263
0.207,0.264,0.461,0.395,0.497,0.073,0.215,0.263
0.206,0.264,0.462,0.395,0.497,0.073,0.215,0.263
0.206,0.264,0.462,0.395,0.497,0.073,0.215,0.263
0.206,0.264,0.461,0.395,0.497,0.073,0.215,0.263
0.206,0.264,0.461,0.395,0.497,0.073,0.215,0.263
0.206,0.264,0.461,0.395,0.497,0.073,0.216,0.263
0.207,0.264,0.462,0.395,0.497,0.073,0.215,0.263
