S1_D2001,S2_D2001,S3_D2001,S4_D2001,S5_D2001,S6_D2001,S7_D2001,S8_D2001
0.173,0.248,0.431,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.247,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.43,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.429,0.316,0.355,0.073,0.186,0.212
0.173,0.247,0.43,0.315,0.355,0.073,0.186,0.212
0.173,0.248,0.429,0.315,0.355,0.073,0.186,0.212
0.173,0.247,0.429,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.429,0.315,0.355,0.073,0.186,0.212
0.173,0.248,0.429,0.315,0.355,0.073,0.186,0.212
0.173,0.247,0.429,0.316,0.355,0.073,0.186,0.212
0.173,0.248,0.429,0.315,0.355,0.073,0.186,0.212
0.173,0.247,0.429,0.315,0.354,0.073,0.186,0.212
0.173,0.248,0.429,0.316,0.354,0.073,0.186,0.212
0.173,0.247,0.429,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.429,0.315,0.355,0.073,0.186,0.212
0.173,0.247,0.429,0.315,0.355,0.073,0.186,0.212
0.173,0.247,0.429,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.429,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.429,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.429,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.185,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.428,0.315,0.354,0.072,0.186,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.185,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.186,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.185,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.185,0.211
0.173,0.247,0.428,0.315,0.354,0.073,0.185,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.185,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.185,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.185,0.212
0.173,0.247,0.428,0.315,0.354,0.073,0.185,0.212
0.172,0.247,0.428,0.315,0.354,0.073,0.185,0.212
0.172,0.247,0.428,0.315,0.354,0.073,0.185,0.212
0.172,0.247,0.427,0.315,0.354,0.072,0.185,0.212
0.172,0.247,0.428,0.315,0.354,0.073,0.185,0.211
0.173,0.247,0.427,0.315,0.354,0.073,0.185,0.212
0.172,0.247,0.427,0.315,0.354,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.354,0.073,0.185,0.211
0.173,0.247,0.427,0.315,0.354,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.354,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.354,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.353,0.073,0.185,0.211
0.173,0.247,0.427,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.427,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.246,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.246,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.246,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.246,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.246,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.246,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.314,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.314,0.353,0.073,0.185,0.211
0.172,0.247,0.425,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.426,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.425,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.425,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.425,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.425,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.425,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.425,0.315,0.353,0.073,0.185,0.211
0.172,0.247,0.425,0.316,0.353,0.073,0.185,0.212
0.172,0.248,0.425,0.316,0.353,0.073,0.185,0.212
0.172,0.248,0.425,0.316,0.353,0.073,0.185,0.212
0.172,0.248,0.425,0.316,0.354,0.073,0.185,0.212
0.172,0.248,0.425,0.317,0.354,0.073,0.185,0.212
0.172,0.248,0.425,0.317,0.354,0.073,0.185,0.213
0.172,0.249,0.425,0.317,0.354,0.073,0.185,0.213
0.172,0.249,0.425,0.317,0.354,0.073,0.185,0.213
0.172,0.249,0.425,0.318,0.355,0.073,0.185,0.213
0.172,0.249,0.425,0.318,0.355,0.073,0.185,0.213
0.172,0.25,0.425,0.318,0.355,0.073,0.185,0.214
0.172,0.25,0.425,0.319,0.355,0.073,0.185,0.214
0.172,0.25,0.425,0.319,0.355,0.073,0.185,0.214
0.172,0.25,0.425,0.319,0.355,0.073,0.185,0.215
0.172,0.251,0.425,0.319,0.356,0.073,0.185,0.215
0.172,0.251,0.425,0.32,0.356,0.073,0.185,0.215
0.172,0.251,0.425,0.32,0.356,0.073,0.185,0.216
0.172,0.251,0.425,0.321,0.356,0.073,0.185,0.216
0.172,0.252,0.425,0.321,0.357,0.073,0.185,0.217
0.172,0.252,0.425,0.321,0.357,0.073,0.185,0.217
0.172,0.252,0.425,0.322,0.357,0.073,0.185,0.217
0.172,0.253,0.425,0.322,0.357,0.073,0.185,0.218
0.172,0.253,0.425,0.323,0.358,0.073,0.185,0.218
0.172,0.253,0.425,0.323,0.358,0.073,0.185,0.218
0.172,0.253,0.425,0.324,0.358,0.073,0.185,0.219
0.172,0.254,0.425,0.324,0.358,0.073,0.185,0.219
0.172,0.254,0.425,0.325,0.359,0.073,0.185,0.22
0.172,0.254,0.425,0.326,0.359,0.073,0.185,0.22
0.172,0.255,0.425,0.326,0.36,0.073,0.185,0.22
0.172,0.255,0.425,0.327,0.36,0.073,0.185,0.221
0.172,0.255,0.425,0.327,0.36,0.073,0.185,0.222
0.172,0.256,0.424,0.328,0.361,0.073,0.185,0.222
0.172,0.256,0.424,0.329,0.361,0.073,0.185,0.222
0.172,0.256,0.424,0.33,0.361,0.073,0.185,0.223
0.172,0.257,0.424,0.33,0.362,0.073,0.185,0.224
0.172,0.258,0.424,0.331,0.362,0.073,0.185,0.224
0.172,0.259,0.424,0.332,0.363,0.073,0.185,0.225
0.172,0.26,0.424,0.333,0.363,0.073,0.185,0.226
0.172,0.261,0.424,0.333,0.363,0.073,0.185,0.226
0.172,0.263,0.425,0.334,0.364,0.073,0.185,0.227
