S1_A06,S2_A06,S3_A06,S4_A06,S5_A06,S6_A06,S7_A06,S8_A06
0.534,1.764,0.333,1.67,1.797,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.797,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.533,1.764,0.333,1.67,1.797,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.797,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.797,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.797,0.288,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.797,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.288,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.288,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.764,0.333,1.67,1.798,0.288,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.288,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.799,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.799,0.288,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.798,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.799,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.799,0.288,0.654,1.882
0.534,1.765,0.333,1.67,1.799,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.799,0.288,0.655,1.882
0.534,1.765,0.333,1.67,1.799,0.287,0.654,1.882
0.534,1.765,0.333,1.67,1.799,0.288,0.654,1.882
