S1_A08,S2_A08,S3_A08,S4_A08,S5_A08,S6_A08,S7_A08,S8_A08
0.542,1.849,0.366,1.743,1.709,0.293,0.674,1.863
0.542,1.849,0.366,1.743,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.744,1.709,0.292,0.674,1.863
0.542,1.848,0.366,1.744,1.709,0.293,0.674,1.863
0.542,1.848,0.366,1.744,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.744,1.709,0.293,0.674,1.862
0.542,1.848,0.366,1.744,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.744,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.744,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.744,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.744,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.745,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.745,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.745,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.745,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.745,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.745,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.746,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.746,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.746,1.709,0.292,0.674,1.861
0.542,1.847,0.366,1.746,1.709,0.292,0.674,1.862
0.542,1.848,0.366,1.746,1.709,0.292,0.674,1.861
0.542,1.848,0.366,1.746,1.709,0.292,0.674,1.861
0.542,1.848,0.366,1.746,1.709,0.292,0.674,1.861
0.542,1.848,0.366,1.746,1.709,0.292,0.674,1.861
0.542,1.847,0.366,1.746,1.709,0.292,0.674,1.861
0.542,1.847,0.366,1.746,1.709,0.292,0.674,1.861
0.542,1.847,0.366,1.746,1.709,0.292,0.674,1.861
0.542,1.847,0.365,1.746,1.709,0.292,0.674,1.861
0.542,1.847,0.366,1.746,1.709,0.292,0.674,1.861
0.542,1.847,0.366,1.747,1.709,0.292,0.674,1.861
0.542,1.847,0.365,1.747,1.709,0.292,0.674,1.861
0.542,1.847,0.365,1.747,1.709,0.292,0.674,1.861
0.542,1.847,0.365,1.747,1.709,0.292,0.674,1.861
0.542,1.847,0.365,1.747,1.709,0.292,0.674,1.861
0.542,1.847,0.365,1.747,1.709,0.292,0.674,1.861
0.542,1.847,0.365,1.747,1.709,0.292,0.674,1.861
0.542,1.847,0.365,1.747,1.709,0.292,0.674,1.86
0.542,1.846,0.365,1.747,1.709,0.292,0.674,1.86
0.542,1.847,0.365,1.748,1.708,0.292,0.674,1.861
0.542,1.847,0.365,1.747,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.747,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.847,0.365,1.748,1.709,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.709,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.748,1.708,0.292,0.674,1.86
0.542,1.846,0.365,1.749,1.708,0.292,0.674,1.859
0.542,1.846,0.365,1.749,1.708,0.292,0.674,1.86
0.543,1.846,0.365,1.748,1.708,0.292,0.674,1.859
0.542,1.846,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.846,0.365,1.749,1.708,0.292,0.674,1.859
0.542,1.846,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.846,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.846,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.845,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.365,1.749,1.708,0.292,0.674,1.859
0.543,1.844,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.75,1.708,0.292,0.674,1.859
0.543,1.844,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.749,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.843,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.844,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.858
0.543,1.843,0.364,1.75,1.708,0.292,0.674,1.857
0.543,1.843,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.843,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.858
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.858
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.858
0.543,1.843,0.364,1.75,1.708,0.292,0.674,1.858
0.543,1.843,0.364,1.75,1.707,0.291,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.291,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.291,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.292,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.291,0.674,1.857
0.543,1.843,0.364,1.751,1.707,0.292,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.291,0.674,1.857
0.543,1.843,0.364,1.751,1.707,0.291,0.674,1.857
0.543,1.843,0.364,1.75,1.707,0.291,0.674,1.857
0.543,1.843,0.364,1.751,1.707,0.292,0.674,1.857
0.543,1.843,0.364,1.751,1.707,0.291,0.674,1.857
0.543,1.843,0.364,1.751,1.707,0.291,0.674,1.856
0.543,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.543,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.364,1.751,1.707,0.291,0.674,1.857
0.544,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.543,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.364,1.751,1.707,0.292,0.674,1.856
0.544,1.842,0.363,1.751,1.707,0.291,0.674,1.856
0.543,1.842,0.363,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.363,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.363,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.364,1.751,1.707,0.291,0.674,1.856
0.544,1.841,0.363,1.751,1.707,0.291,0.674,1.856
0.544,1.842,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.842,0.363,1.751,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.856
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.842,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
0.544,1.841,0.363,1.752,1.707,0.291,0.674,1.855
