S1_A10,S2_A10,S3_A10,S4_A10,S5_A10,S6_A10,S7_A10,S8_A10
0.499,1.971,0.357,1.832,2.143,0.32,0.655,2.076
0.498,1.966,0.355,1.828,2.137,0.319,0.654,2.071
0.498,1.965,0.355,1.826,2.135,0.318,0.653,2.066
0.5,1.972,0.357,1.831,2.14,0.319,0.654,2.07
0.501,1.976,0.357,1.836,2.146,0.32,0.656,2.076
0.5,1.974,0.357,1.835,2.146,0.32,0.657,2.078
0.499,1.971,0.356,1.832,2.142,0.32,0.656,2.075
0.498,1.965,0.355,1.827,2.137,0.319,0.654,2.07
0.498,1.965,0.355,1.825,2.134,0.318,0.653,2.066
0.5,1.971,0.356,1.831,2.14,0.319,0.654,2.069
0.501,1.975,0.357,1.835,2.145,0.32,0.656,2.075
0.5,1.973,0.357,1.834,2.145,0.32,0.656,2.077
0.499,1.97,0.356,1.831,2.142,0.319,0.655,2.074
0.498,1.965,0.355,1.827,2.136,0.318,0.654,2.069
0.498,1.963,0.355,1.824,2.133,0.318,0.653,2.064
0.5,1.97,0.356,1.829,2.139,0.319,0.654,2.068
0.501,1.974,0.357,1.834,2.145,0.319,0.656,2.074
0.501,1.972,0.357,1.833,2.144,0.319,0.656,2.075
0.499,1.969,0.356,1.831,2.142,0.319,0.656,2.074
0.498,1.964,0.355,1.826,2.136,0.318,0.654,2.069
0.499,1.963,0.355,1.824,2.133,0.318,0.653,2.064
0.5,1.969,0.356,1.828,2.138,0.318,0.654,2.067
0.501,1.973,0.357,1.834,2.144,0.319,0.656,2.074
0.501,1.972,0.357,1.833,2.145,0.319,0.656,2.076
0.5,1.969,0.356,1.831,2.142,0.319,0.656,2.073
0.499,1.964,0.355,1.826,2.136,0.318,0.654,2.069
0.499,1.963,0.355,1.824,2.133,0.318,0.653,2.064
0.501,1.969,0.356,1.828,2.138,0.318,0.654,2.066
0.502,1.973,0.357,1.833,2.144,0.319,0.656,2.073
0.501,1.972,0.357,1.833,2.145,0.319,0.657,2.075
0.501,1.969,0.356,1.831,2.142,0.319,0.656,2.073
0.499,1.964,0.355,1.826,2.137,0.318,0.655,2.068
0.499,1.962,0.355,1.823,2.133,0.317,0.653,2.063
0.501,1.968,0.356,1.827,2.137,0.318,0.654,2.066
0.502,1.973,0.357,1.833,2.144,0.319,0.656,2.073
0.502,1.972,0.356,1.833,2.144,0.319,0.657,2.074
0.501,1.969,0.356,1.83,2.141,0.319,0.656,2.072
0.5,1.964,0.355,1.825,2.136,0.318,0.655,2.067
0.499,1.961,0.354,1.822,2.132,0.317,0.653,2.062
0.501,1.967,0.356,1.828,2.14,0.318,0.655,2.069
0.501,1.968,0.356,1.829,2.14,0.318,0.655,2.07
0.501,1.968,0.356,1.828,2.139,0.318,0.655,2.069
0.501,1.968,0.356,1.828,2.139,0.318,0.655,2.069
0.501,1.968,0.356,1.828,2.139,0.318,0.656,2.069
0.501,1.968,0.356,1.828,2.139,0.318,0.655,2.069
0.501,1.968,0.355,1.828,2.139,0.318,0.655,2.069
0.501,1.968,0.355,1.828,2.139,0.318,0.655,2.068
0.501,1.967,0.355,1.828,2.139,0.318,0.656,2.068
0.501,1.967,0.355,1.828,2.139,0.318,0.655,2.069
0.502,1.967,0.355,1.828,2.139,0.318,0.655,2.068
0.502,1.967,0.356,1.828,2.139,0.318,0.656,2.068
0.502,1.967,0.355,1.828,2.139,0.318,0.656,2.069
0.502,1.967,0.355,1.827,2.139,0.318,0.656,2.068
0.502,1.967,0.355,1.827,2.139,0.318,0.655,2.068
0.502,1.967,0.355,1.827,2.138,0.318,0.656,2.067
0.502,1.966,0.355,1.826,2.138,0.318,0.655,2.067
0.502,1.966,0.355,1.826,2.138,0.317,0.655,2.067
0.502,1.966,0.355,1.826,2.138,0.318,0.655,2.067
0.502,1.965,0.355,1.826,2.138,0.317,0.655,2.067
0.502,1.966,0.355,1.826,2.138,0.318,0.655,2.067
0.502,1.965,0.355,1.826,2.138,0.317,0.655,2.066
0.502,1.965,0.355,1.826,2.138,0.318,0.656,2.066
0.502,1.965,0.355,1.826,2.138,0.318,0.656,2.066
0.502,1.965,0.355,1.826,2.138,0.317,0.655,2.066
0.502,1.965,0.355,1.826,2.138,0.317,0.655,2.066
0.502,1.965,0.355,1.826,2.137,0.317,0.656,2.066
0.502,1.965,0.355,1.825,2.137,0.317,0.655,2.066
0.502,1.965,0.355,1.825,2.137,0.317,0.655,2.065
0.502,1.964,0.355,1.825,2.137,0.317,0.655,2.065
0.502,1.964,0.355,1.825,2.137,0.317,0.655,2.065
0.502,1.963,0.354,1.825,2.136,0.317,0.655,2.065
0.502,1.964,0.355,1.825,2.137,0.317,0.656,2.065
