S1_A04,S2_A04,S3_A04,S4_A04,S5_A04,S6_A04,S7_A04,S8_A04
0.526,1.916,0.331,1.652,1.651,0.31,0.67,1.742
0.527,1.915,0.331,1.651,1.65,0.31,0.67,1.742
0.526,1.915,0.331,1.651,1.651,0.31,0.67,1.742
0.526,1.915,0.331,1.651,1.65,0.31,0.67,1.742
0.526,1.915,0.331,1.651,1.65,0.31,0.67,1.742
0.526,1.915,0.331,1.651,1.651,0.31,0.67,1.742
0.526,1.915,0.331,1.651,1.651,0.31,0.67,1.742
0.526,1.915,0.331,1.652,1.651,0.31,0.67,1.742
0.527,1.915,0.331,1.651,1.651,0.31,0.67,1.742
0.526,1.915,0.331,1.652,1.651,0.31,0.67,1.742
0.527,1.915,0.331,1.652,1.651,0.31,0.67,1.742
0.527,1.915,0.331,1.651,1.65,0.31,0.67,1.742
0.527,1.915,0.331,1.651,1.651,0.31,0.67,1.742
0.526,1.915,0.331,1.651,1.651,0.31,0.67,1.742
0.526,1.915,0.331,1.652,1.65,0.31,0.67,1.742
0.526,1.915,0.331,1.652,1.651,0.31,0.67,1.742
0.526,1.915,0.331,1.651,1.651,0.31,0.67,1.742
0.527,1.915,0.331,1.652,1.651,0.31,0.67,1.742
0.526,1.915,0.331,1.651,1.651,0.31,0.67,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.67,1.742
0.527,1.915,0.331,1.652,1.651,0.31,0.67,1.742
0.527,1.915,0.331,1.651,1.651,0.31,0.67,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.67,1.742
0.526,1.915,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.651,1.651,0.31,0.67,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.652,1.651,0.31,0.67,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.67,1.743
0.526,1.916,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.651,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.651,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.651,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.651,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.651,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.651,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.651,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.651,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.651,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.526,1.916,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.651,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.332,1.652,1.651,0.31,0.669,1.743
0.526,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.744
0.526,1.916,0.331,1.652,1.651,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.915,0.331,1.652,1.651,0.31,0.669,1.743
0.527,1.916,0.332,1.652,1.651,0.31,0.669,1.744
0.527,1.916,0.332,1.652,1.651,0.31,0.669,1.743
0.527,1.916,0.331,1.652,1.651,0.31,0.669,1.744
0.527,1.916,0.332,1.652,1.651,0.31,0.669,1.744
0.527,1.916,0.332,1.652,1.651,0.31,0.669,1.744
0.527,1.915,0.331,1.652,1.652,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.651,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.651,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.651,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.651,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.744
0.527,1.916,0.332,1.652,1.651,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.744
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.745
0.527,1.917,0.332,1.652,1.653,0.31,0.669,1.745
0.527,1.917,0.332,1.652,1.652,0.31,0.669,1.744
0.527,1.917,0.332,1.652,1.652,0.31,0.669,1.745
0.527,1.917,0.331,1.652,1.652,0.31,0.669,1.745
0.527,1.916,0.332,1.652,1.652,0.31,0.669,1.745
0.527,1.917,0.332,1.652,1.652,0.31,0.669,1.745
0.527,1.916,0.332,1.652,1.652,0.31,0.669,1.745
0.527,1.917,0.332,1.652,1.652,0.31,0.669,1.745
0.527,1.917,0.332,1.653,1.652,0.31,0.669,1.745
0.527,1.917,0.331,1.653,1.653,0.31,0.669,1.745
0.527,1.917,0.332,1.653,1.653,0.31,0.669,1.745
0.527,1.917,0.332,1.653,1.653,0.31,0.669,1.745
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.745
0.527,1.917,0.331,1.653,1.653,0.31,0.669,1.745
0.527,1.917,0.331,1.653,1.653,0.31,0.669,1.745
0.527,1.916,0.331,1.652,1.652,0.31,0.669,1.745
