S1_A01,S2_A01,S3_A01,S4_A01,S5_A01,S6_A01,S7_A01,S8_A01
0.554,1.8,0.321,1.635,1.626,0.314,0.666,1.688
0.554,1.798,0.32,1.633,1.624,0.314,0.665,1.687
0.554,1.799,0.32,1.634,1.624,0.314,0.665,1.686
0.555,1.802,0.321,1.636,1.626,0.314,0.667,1.688
0.555,1.802,0.321,1.637,1.627,0.315,0.667,1.69
0.555,1.801,0.321,1.636,1.626,0.314,0.667,1.69
0.554,1.8,0.321,1.635,1.626,0.314,0.666,1.689
0.554,1.797,0.32,1.633,1.623,0.314,0.665,1.687
0.554,1.799,0.32,1.634,1.624,0.314,0.665,1.686
0.555,1.802,0.321,1.637,1.626,0.314,0.666,1.688
0.555,1.801,0.321,1.637,1.627,0.315,0.667,1.69
0.555,1.801,0.321,1.636,1.626,0.314,0.667,1.689
0.554,1.799,0.321,1.635,1.626,0.314,0.666,1.689
0.554,1.797,0.32,1.634,1.624,0.314,0.666,1.687
0.554,1.799,0.321,1.634,1.624,0.314,0.665,1.689
0.554,1.8,0.321,1.636,1.626,0.314,0.666,1.689
0.555,1.8,0.321,1.636,1.626,0.314,0.666,1.688
0.555,1.8,0.321,1.636,1.626,0.314,0.666,1.689
0.554,1.8,0.321,1.636,1.625,0.314,0.666,1.688
0.555,1.8,0.321,1.636,1.625,0.314,0.666,1.689
0.555,1.8,0.321,1.636,1.626,0.314,0.666,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.666,1.689
0.554,1.8,0.321,1.636,1.625,0.314,0.666,1.689
0.554,1.8,0.321,1.636,1.625,0.314,0.666,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.666,1.688
0.555,1.8,0.321,1.636,1.625,0.314,0.666,1.689
0.555,1.8,0.321,1.636,1.625,0.314,0.666,1.689
0.555,1.8,0.321,1.636,1.625,0.314,0.666,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.666,1.688
0.555,1.8,0.321,1.636,1.625,0.314,0.666,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.666,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.666,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.666,1.688
0.554,1.799,0.321,1.636,1.625,0.314,0.666,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.667,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.667,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.667,1.688
0.554,1.8,0.321,1.637,1.625,0.314,0.666,1.688
0.554,1.8,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.8,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.8,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.636,1.625,0.314,0.666,1.688
0.554,1.8,0.321,1.636,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.8,0.32,1.637,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.799,0.32,1.637,1.625,0.314,0.666,1.688
0.554,1.8,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.8,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.8,0.321,1.637,1.625,0.314,0.666,1.688
0.554,1.799,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.625,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.666,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.666,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.666,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.637,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.638,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.638,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.638,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.638,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.638,1.624,0.314,0.667,1.688
0.554,1.799,0.321,1.638,1.624,0.314,0.666,1.688
0.554,1.799,0.321,1.638,1.624,0.314,0.666,1.688
