S1_A07,S2_A07,S3_A07,S4_A07,S5_A07,S6_A07,S7_A07,S8_A07
0.528,1.891,0.33,1.654,1.67,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.67,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.67,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.67,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.67,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.67,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.738
0.528,1.891,0.33,1.655,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.655,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.89,0.33,1.654,1.671,0.306,0.665,1.737
0.528,1.891,0.33,1.654,1.671,0.306,0.665,1.738
0.528,1.891,0.33,1.655,1.671,0.306,0.665,1.738
0.528,1.891,0.33,1.655,1.672,0.306,0.665,1.738
0.528,1.891,0.33,1.655,1.671,0.306,0.665,1.738
0.528,1.891,0.33,1.655,1.672,0.306,0.665,1.738
0.528,1.891,0.33,1.655,1.672,0.306,0.665,1.738
0.528,1.891,0.33,1.655,1.671,0.306,0.665,1.738
0.528,1.892,0.33,1.655,1.672,0.306,0.665,1.738
0.528,1.891,0.33,1.655,1.672,0.306,0.665,1.738
0.528,1.891,0.33,1.655,1.672,0.306,0.665,1.738
