S1_A02,S2_A02,S3_A02,S4_A02,S5_A02,S6_A02,S7_A02,S8_A02
0.528,1.845,0.323,1.713,1.614,0.318,0.669,1.752
0.527,1.842,0.323,1.71,1.61,0.318,0.668,1.749
0.528,1.845,0.323,1.711,1.611,0.318,0.668,1.749
0.529,1.85,0.324,1.716,1.616,0.319,0.67,1.753
0.529,1.85,0.324,1.718,1.617,0.319,0.671,1.756
0.529,1.848,0.324,1.715,1.616,0.319,0.67,1.755
0.528,1.845,0.323,1.713,1.614,0.318,0.669,1.753
0.527,1.841,0.323,1.71,1.61,0.317,0.668,1.749
0.528,1.844,0.323,1.711,1.611,0.318,0.668,1.748
0.53,1.849,0.324,1.716,1.616,0.319,0.67,1.753
0.529,1.849,0.324,1.717,1.617,0.319,0.671,1.756
0.529,1.848,0.324,1.716,1.616,0.319,0.67,1.755
0.528,1.845,0.323,1.713,1.614,0.318,0.669,1.753
0.527,1.841,0.323,1.709,1.61,0.317,0.668,1.749
0.528,1.844,0.323,1.711,1.611,0.317,0.668,1.748
0.529,1.849,0.324,1.716,1.615,0.318,0.669,1.752
0.529,1.848,0.324,1.716,1.616,0.319,0.67,1.755
0.529,1.847,0.324,1.715,1.615,0.318,0.67,1.754
0.528,1.844,0.323,1.713,1.613,0.318,0.669,1.752
0.527,1.841,0.323,1.709,1.609,0.317,0.668,1.749
0.528,1.844,0.323,1.71,1.61,0.317,0.668,1.748
0.529,1.849,0.324,1.715,1.615,0.318,0.67,1.752
0.529,1.849,0.324,1.716,1.616,0.319,0.67,1.755
0.529,1.847,0.324,1.715,1.615,0.318,0.67,1.754
0.528,1.845,0.323,1.713,1.613,0.318,0.669,1.752
0.527,1.841,0.323,1.709,1.609,0.317,0.668,1.748
0.528,1.843,0.323,1.71,1.61,0.317,0.667,1.747
0.53,1.848,0.324,1.715,1.615,0.318,0.669,1.752
0.529,1.848,0.324,1.716,1.616,0.319,0.67,1.755
0.529,1.847,0.324,1.715,1.615,0.318,0.67,1.753
0.528,1.844,0.323,1.712,1.612,0.318,0.669,1.752
0.527,1.84,0.322,1.708,1.609,0.317,0.668,1.748
0.528,1.843,0.323,1.709,1.609,0.317,0.667,1.747
0.529,1.847,0.324,1.714,1.614,0.318,0.669,1.751
0.529,1.847,0.324,1.715,1.615,0.318,0.67,1.754
0.529,1.846,0.323,1.714,1.614,0.318,0.67,1.753
0.528,1.843,0.323,1.712,1.612,0.318,0.669,1.752
0.527,1.84,0.322,1.709,1.609,0.317,0.668,1.749
0.528,1.843,0.323,1.71,1.61,0.317,0.668,1.748
0.53,1.848,0.324,1.715,1.614,0.318,0.669,1.752
0.529,1.846,0.323,1.713,1.613,0.318,0.669,1.752
0.529,1.846,0.323,1.714,1.614,0.318,0.669,1.752
0.529,1.846,0.323,1.714,1.614,0.318,0.669,1.752
