S1_A05,S2_A05,S3_A05,S4_A05,S5_A05,S6_A05,S7_A05,S8_A05
0.524,1.893,0.329,1.641,1.654,0.306,0.655,1.732
0.524,1.893,0.33,1.64,1.654,0.306,0.655,1.732
0.524,1.893,0.33,1.641,1.654,0.306,0.655,1.732
0.524,1.893,0.33,1.641,1.655,0.306,0.655,1.732
0.525,1.893,0.33,1.641,1.654,0.306,0.655,1.732
0.524,1.893,0.33,1.641,1.655,0.306,0.655,1.732
0.524,1.894,0.33,1.641,1.655,0.306,0.655,1.732
0.525,1.894,0.33,1.641,1.655,0.306,0.655,1.732
0.524,1.894,0.33,1.641,1.655,0.306,0.655,1.732
0.524,1.893,0.33,1.641,1.654,0.306,0.655,1.732
0.525,1.894,0.33,1.641,1.655,0.306,0.655,1.732
0.524,1.894,0.33,1.641,1.655,0.306,0.655,1.732
0.524,1.894,0.33,1.641,1.655,0.306,0.655,1.732
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.641,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.656,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.656,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
0.525,1.894,0.33,1.642,1.655,0.306,0.655,1.733
