S1_A03,S2_A03,S3_A03,S4_A03,S5_A03,S6_A03,S7_A03,S8_A03
0.518,1.89,0.328,1.655,1.663,0.305,0.664,1.739
0.518,1.89,0.328,1.655,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.655,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.655,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.655,1.663,0.306,0.664,1.739
0.519,1.89,0.328,1.655,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.655,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.655,1.663,0.306,0.663,1.739
0.518,1.89,0.328,1.655,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.655,1.663,0.305,0.663,1.739
0.518,1.89,0.329,1.655,1.663,0.306,0.663,1.739
0.518,1.89,0.328,1.655,1.663,0.306,0.664,1.739
0.518,1.891,0.328,1.656,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.656,1.663,0.305,0.663,1.739
0.518,1.89,0.329,1.656,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.656,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.656,1.663,0.306,0.664,1.739
0.518,1.89,0.329,1.656,1.663,0.306,0.664,1.739
0.518,1.89,0.329,1.656,1.663,0.305,0.664,1.739
0.518,1.89,0.329,1.656,1.663,0.306,0.663,1.739
0.518,1.89,0.328,1.656,1.663,0.306,0.663,1.739
0.518,1.89,0.328,1.656,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.656,1.663,0.305,0.663,1.739
0.518,1.89,0.329,1.656,1.663,0.306,0.664,1.739
0.519,1.89,0.328,1.656,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.656,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.656,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.656,1.663,0.306,0.663,1.739
0.518,1.89,0.328,1.656,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.657,1.663,0.305,0.664,1.739
0.519,1.89,0.328,1.657,1.663,0.306,0.663,1.739
0.519,1.89,0.328,1.657,1.663,0.306,0.664,1.739
0.518,1.89,0.328,1.657,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.656,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.657,1.663,0.306,0.663,1.739
0.518,1.89,0.328,1.657,1.663,0.306,0.663,1.739
0.518,1.89,0.328,1.657,1.663,0.306,0.663,1.739
0.518,1.89,0.328,1.657,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.657,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.657,1.663,0.306,0.663,1.739
0.518,1.89,0.328,1.657,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.657,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.657,1.663,0.305,0.664,1.739
0.518,1.89,0.328,1.657,1.663,0.305,0.663,1.739
0.518,1.89,0.328,1.657,1.663,0.305,0.663,1.739
